Index,Texte précédent,Mot,Texte suivant
21,"conseiller social de Nicolas Sarkozy et président du cabinet Alixio . Le « triangle infernal » Obligation économique , la",réforme,est aussi un impératif démographique . Non seulement les générations nombreuses du baby - boom arrivent à l' âge de
22,"sur l' inflation , le pouvoir d' achat des retraités a déjà baissé et va continuer à diminuer . Sans",réforme,", le niveau de vie des retraités rapporté à celui de la population reviendra à son niveau des années 1980"
23,"Certaines déclarations , y compris du président de la République , ont pu semer le trouble en indiquant que la",réforme,"des retraites servirait à financer des chantiers sur l' école , l' hôpital , la dépendance ... Mais les cotisations"
24,LA MÈRE DES RÉFORMES - ou des batailles - est lancée . En présentant mardi la,réforme,"des retraites promise par Emmanuel Macron pendant la campagne présidentielle , Élisabeth Borne a ouvert le chantier qui sera probablement"
25,") , le patron de Bercy , Bruno Le Maire , qui prévoit de s' investir politiquement pour porter la",réforme,", et Stanislas Guerini , le ministre de la Fonction publique , alors que « la plupart des régimes spéciaux"
26,"échec de 2019 , a maintenant rendez-vous avec l' opinion . Une écrasante majorité de Français est hostile à cette",réforme,", selon toutes les enquêtes publiées ces derniers mois . Les concertations menées depuis la fin de l' été ont"
27,» à travers des mesures pour les carrières longues et la pénibilité . Bruno Le Maire a affirmé que la,réforme,"« apportera 17,7 milliards d' euros » aux caisses de retraite en 2030 . « Chaque euro compte pour un"
28,à un vote favorable en s' entendant sur la question de la revalorisation des pensions des retraités actuels . La,réforme,présentée par Élisabeth Borne prévoit un relèvement de la retraite minimale à 85 % du smic net - soit 1
29,"» les déficits . Marine Le Pen n' est pas en reste , promettant de « faire barrage à cette",réforme,"injuste » . « La confrontation d' idées peut se faire sans désinformation , sans agiter les peurs » ,"
30,"Anticiper les blocages Pour convaincre les Français , l' exécutif devra imposer un récit alors que la finalité de sa",réforme,"n' a pas toujours été très claire . « Chaque euro servira à financer nos retraites , rien d' autre"
31,IL A LANCÉ la bataille mais il se tient à distance . Après la présentation de la,réforme,"des retraites par Élisabeth Borne mardi , Emmanuel Macron se tient à l' écart du débat . À peine le"
32,"si mauvais résultat . À l' époque , le chef de l' État se dé battait déjà avec ... une",réforme,"des retraites . Laissée ensuite de côté par l' irruption de la crise Covid . Au sein du gouvernement ,"
33,que le pire n' est pas forcément à venir . « Le président a déjà pris sa perte avec la,réforme,"des retraites pendant la campagne présidentielle , assure un ministre . C' est l' un des seuls sujets qui ait"
34,question pour autant de s' exposer en première ligne . Dans la chorégraphie bien orchestrée de la présentation de la,réforme,", Élisabeth Borne renoue avec le rôle ordinaire d' un premier ministre sous la Ve République , celui de bouclier"
35,"par Élisabeth Borne d' une nouvelle mouture , l' exécutif s' est donc démultiplié pour faire la promotion de sa",réforme,. Le relèvement à 64 ans de l' âge légal de départ à la retraite est « indispensable et vital
36,« qui va changer pour eux » . Le ministre a lui-même suivi la consigne : « Ce projet de,réforme,des retraites n' est pas un projet éclair ou brutal . Il n' est pas antisocial : la retraite minimale
37,"SNCF , Jean-Pierre Farandou , et celui de la RATP , Jean Castex , pour « expliquer et accompagner la",réforme,"» dans des secteurs où la mobilisation pourrait être importante . De son côté , le parti présidentiel Renaissance a"
38,", le parti présidentiel Renaissance a édité un tract intitulé « Agir aujourd'hui pour sauver nos retraites demain » .",Réforme,"« améliorable » Malgré cela , des voix se sont fait entendre mercredi pour exprimer quelques désaccords . Au sein"
39,pour exprimer quelques désaccords . Au sein même de la majorité . François Bayrou a jugé sur LCI que la,réforme,"« est améliorable » . « On va entrer dans une discussion parlementaire qui va être ardue » , a"
40,"autres de très près . Malgré son retrait apparent , c' est lui qui est à la manoeuvre sur la",réforme,". Avant la présentation du projet mardi , il a procédé aux derniers arbitrages . Et il garde sous le"
41,", un allongement de la durée de cotisation , un recul de l' âge de la retraite , une autre",réforme,". Dans le baromètre d' opinion de la DREES 2021 , les retraités se montrent effectivement un peu plus favorables"
42,"retraites ont souvent donné lieu à de fortes mobilisations sociales . DE MÉMOIRE de parlementaires , le sujet de la",réforme,"des retraites a toujours été des plus explosifs . Parce qu' il est particulièrement technique , mais aussi profondément humain"
43,alertent sur la question de la justice sociale . D' autres encore jouent sur la temporalité : plus vite une,réforme,"arrive dans un mandat , mieux elle passera auprès de la population . C' est le fruit des enseignements tirés"
44,d' alors - est annoncé dès le 15 novembre . Il ne s' agit pas à proprement parler d' une,réforme,"des retraites , puisque le projet comporte aussi un volet sur la Sécurité sociale . Mais c' est l' allongement"
45,"... ) Le Parlement est ouvert , et le Parlement discute » , martèle -t -il , en prônant une",réforme,"« sage » , « négociée » et surtout « progressive » . En témoigne le temps de cotisation prévu"
46,"conclu en échec . Pour contourner la contestation de ses opposants , Édouard Philippe active l' article 49.3 sur une",réforme,"portant le régime « universel » . Le premier ministre se heurte par la suite au premier confinement , et"
47,Des opposants au projet du gouvernement affirment que la,réforme,serait une exigence de Bruxelles . Qu' en est -il en réalité ? « C' est la faute à l'
48,? « C' est la faute à l' Europe . » Depuis le début de la contestation sociale contre la,réforme,"des retraites , le rôle de l' Union européenne est parfois pointé du doigt par ses opposants . « Quelle"
49,"député Insoumis Éric Coquerel en début d' année sur BFMTV . En 2019 et 2020 , la thèse d' une",réforme,"des retraités dictée par Bruxelles était également avancée par plusieurs élus Insoumis , dont Jean-Luc Mélenchon . De l' autre"
50,"l' échiquier politique , la députée RN Laure Lavalette a affirmé sur CNews , en janvier dernier , que cette",réforme,obéissait « à une injonction de Bruxelles » . « S' il ( Emmanuel Macron ) fait cette réforme aujourd'hui
51,cette réforme obéissait « à une injonction de Bruxelles » . « S' il ( Emmanuel Macron ) fait cette,réforme,"aujourd'hui , c' est pour une seule et unique raison , c' est l' engagement auquel il a dû souscrire"
52,"tout en pointant en revanche le rôle des « marchés financiers » . Qu' en est -il vraiment , la",réforme,"est-elle ou non exigée par l' UE ? Dans un article publié sur son site en octobre dernier , la"
53,"fact - checker » ces allégations . « Non , la Commission européenne n' impose pas à la France sa",réforme,des retraites ! L' on entend souvent dans le cadre du débat national que “ Bruxelles ” exige de repousser
54,", non contraignantes , aux Vingt-Sept . Et c' est ce qu' elle a fait , au sujet de la",réforme,"des retraites , à l' adresse de la France , en mai dernier . Dans un document portant sur «"
55,"l' adresse de la France , en mai dernier . Dans un document portant sur « le programme national de",réforme,"de la France pour 2022 » , le Conseil de l' UE recommande que la France s' attache entre autres"
56,"droit public à l' Université Paris - Panthéon - Assas et spécialiste du droit européen , qui souligne qu' une",réforme,des retraites « fait partie des mesures préconisées par l' UE depuis longtemps » . Certaines voix soulignent par ailleurs
57,"respecter le Pacte de stabilité et de croissance européen , la France n' est pas obligée de faire précisément cette",réforme,"-là pour rentrer dans les clous » , répond Vincent Couronne . « Une autonomie est laissée aux États pour"
58,marchés financiers est un argument avancé par Emmanuel Macron lui-même . Après le recours au 49.3 pour faire passer la,réforme,"sans vote à l' Assemblée , le chef de l' État a justifié cette décision , en conseil des ministres"
59,"financiers , économiques ( ... ) trop grands » , a rapporté Le Monde . Comprendre : renoncer à cette",réforme,"mettrait en danger la capacité de la France à emprunter sur les marchés . Enfin , le versement de 40"
60,à la France pour financer son plan de relance post-Covid de 100 milliards « n' est pas conditionné à la,réforme,"des retraites » , insiste la représentation française de la Commission européenne , contredisant les propos tenus notamment par François"
61,François - Xavier Bellamy et Laure Lavalette . « Bruxelles n' a pas de pouvoir sur ce sujet de la,réforme,"des retraites car le plan de relance européen est axé sur d' autres sujets , en particulier la transition énergétique"
62,"énergétique et le numérique » , note Vincent Couronne . Ainsi , il n' est fait aucunement mention d' une",réforme,"des retraites dans la décision du Conseil de l' UE , datée de juin 2021 , approuvant le plan de"
63,"le plan de relance français , souligne Francesco Martucci . En résumé , il est faux de dire que la",réforme,"du système de retraite français est dictée par l' Union européenne . En revanche , l' exécutif européen est bel"
64,". Par ailleurs , le critère budgétaire européen des 3 % de déficit public n' oblige pas précisément à la",réforme,"telle qu' elle a été pensée et annoncée par l' exécutif français , qui pointe par ailleurs les « risques"
65,"annoncée par l' exécutif français , qui pointe par ailleurs les « risques financiers » d' un renoncement à cette",réforme,. Chaque État est libre de définir la manière de remplir cet engagement . Aucune réforme des retraites n' était
66,un renoncement à cette réforme . Chaque État est libre de définir la manière de remplir cet engagement . Aucune,réforme,des retraites n' était en outre requise pour recevoir les fonds européens du plan de relance post-Covid .
67,"non-recevoir . Mais là , personne . Emmanuel Macron déambule seul . Comme isolé . Loin du fracas de la",réforme,"des retraites alors que son gouvernement s' apprête à affronter , trois jours plus tard , la deuxième journée de"
68,"pour apporter son « soutien total » au ministre du Travail , Olivier Dussopt , en première ligne sur la",réforme,et soupçonné par la justice de favoritisme . Là pour faire savoir que le Parlement pouvait « aménager » le
69,. La suite ne dépend plus de lui désormais puisque c' est devant le Parlement que le gouvernement défend la,réforme,". » Alors , pendant ce temps , Emmanuel Macron vaque à ses occupations de président , servi par un"
70,"président , servi par un agenda qui lui permet de jouer le décalage . Pour la première manifestation contre la",réforme,"des retraites , il est à Barcelone pour signer un traité d' amitié avec l' Espagne . Pour la deuxième"
71,"Olaf Scholz . Mais surtout , il prépare la suite , l' après-réforme des retraites , une fois que la",réforme,"pourra comme il l' espère , entrer en application à l' été . Emmanuel Macron réfléchit déjà à une intervention"
72,. Mais il connaît déjà les chantiers sur lesquels il veut s' impliquer . D' abord l' éducation avec la,réforme,des lycées professionnels . Ensuite la santé pour réparer un système à bout de souffle . Il a longuement reçu
73,"Jeudi matin , il s' est mis à clignoter en rouge vif . Deux jours après la présentation de la",réforme,"des retraites , les syndicats CGT de la branche pétrole ont appelé à plusieurs jours de grèves en menaçant «"
74,mercredi à l' issue du Conseil des ministres . Une large majorité des Français a beau ne pas soutenir la,réforme,"des retraites , l' exécutif semble parier sur leur désintérêt croissant pour la chose publique régulièrement évoquée par les politologues"
75,"volontarisme et de détermination . À commencer par Emmanuel Macron , qui , au lendemain de la présentation de la",réforme,", assurait encore en Conseil des ministres qu' elle était « indispensable et vitale » . Dans le droit fil"
76,septembre dernier devant l' Association de la presse présidentielle : « Est -ce qu' on peut attendre pour faire cette,réforme,? Non . Et est -ce qu' elle doit rentrer en vigueur dès l' été 2023 ? Oui . »
77,être désavoués par l' opinion . D' autant que les Français commencent à se faire à l' idée de la,réforme,", comme résignés . Selon un sondage Odoxa , 62 % d' entre eux s' opposent au report de l'"
78,des Français . « Ce sont ces mesures qui expliquent le plus cette érosion » de l' opposition à la,réforme,", souligne Odoxa . Pour l' heure , les Français soutiennent toutefois fortement le mouvement du 19 janvier , mais"
79,"macronistes . Cette séquence , d' abord pensée comme une mesure spectaculaire qui viendrait faire de l' ombre à la",réforme,"des retraites , est jugée hasardeuse par des spécialistes de l' opinion . « C' est un bon moyen de"
80,"des Républicains , malgré un courant majoritaire qui se félicite du poids de la droite dans la construction de la",réforme,"des retraites , certains députés restent fortement hostiles au texte du gouvernement . Les ténors LR se félicitent d' avoir"
81,"il l' a confié au journal Le Point , samedi . Dans les Vosges , Stéphane Viry considère que cette",réforme,"n' est pas en « adéquation » avec les Français . À Belfort comme en Alsace , d' autres députés"
82,"il veut bien reconnaître ) , Ian Boucard , député LR du Territoire de Belfort , ne votera pas la",réforme,". En se réjouissant d' une « liberté de vote » au sein du groupe , il n' hésite pas"
83,travaillent jamais » .Nombre de ses collègues partagent ce constat sur l' assiette des cotisations mais ils estiment qu' une,réforme,structurelle des retraites ne peut pas se fonder sur des enjeux conjoncturels . « Casus belli » Si Les Républicains
84,y apporter sa voix . Si d' aventure le gouvernement décidait de passer par un 49.3 pour faire adopter sa,réforme,", ce serait alors un « casus belli » .Raphaël Schellenberger réclamerait illico le dépôt d' une motion de censure"
85,"aux mauvais combats ! » , met en garde le député d' Eure-et-Loir . Il invite chacun à mesurer la",réforme,à la lumière des expertises de la droite et des études d' impact du gouvernement . « Au - delà
86,"sans accorder de blanc-seing à n' importe quel prix , nous allons devoir sérier les combats , sachant que cette",réforme,"s' impose si l' on veut sauver le système par répartition » , souligne le chef de file des députés"
87,"être examiné en commission à l’ Assemblée nationale au début du mois de février . À l’ Assemblée , la",réforme,"des retraites sera âprement débattue . Ce , dans un calendrier restreint . Alors qu’ il sera présenté en Conseil"
88,"décrypte un poids lourd du camp présidentiel , qui veut penser que « grâce à cette disposition constitutionnelle » la",réforme,pourrait avancer « sans trop d’ encombres » au Parlement . Trouver un accord au sein d’ une commission mixte
89,"ensuite au Sénat , où les parlementaires de la Chambre haute , à majorité LR , votent chaque année une",réforme,des retraites en de nombreux points similaires à celle-ci . Il serait alors adopté sans trop de problèmes - sauf
90,tête du plus gros groupe au Sénat . « Je ne vois pas comment on peut ne pas voter une,réforme,"attendue depuis des années » , a répété à plusieurs reprises Bruno Retailleau , ces derniers jours . Alors ,"
91,"Mais pour tous , la méfiance est de mise . « Un plan qui se déroule parfaitement , pour une",réforme,"de cette ampleur , ça n’ arrive jamais . Il y aura forcément des péripéties » , anticipe cette parlementaire"
92,", et profondément inquiétant , c' est le décalage entre la prudence , et même la timidité , de la",réforme,"proposée et la véhémence , voire l' indignation , qu' elle suscite dans le pays . Le rejet est massif"
93,"indignation , qu' elle suscite dans le pays . Le rejet est massif alors qu' au terme du processus de",réforme,l' âge de départ à la retraite restera l' un des plus bas d' Europe et la pension minimum des
94,permet pas de créer en quantité suffisante les biens et les services dont nous avons besoin pour vivre . La,réforme,des retraites est une réforme pro-croissance . Elle est indispensable même si elle doit s' accompagner d' un effort d'
95,quantité suffisante les biens et les services dont nous avons besoin pour vivre . La réforme des retraites est une,réforme,pro-croissance . Elle est indispensable même si elle doit s' accompagner d' un effort d' enrichissement qualitatif - par la
96,Un chantier peut en cacher un autre . Si la,réforme,"des retraites accapare l' espace politique et médiatique pour les semaines à venir , Emmanuel Macron n' oublie pas une"
97,"retraites accapare l' espace politique et médiatique pour les semaines à venir , Emmanuel Macron n' oublie pas une autre",réforme,"que , comme celle des retraites , il avait été contraint d' abandonner sous son premier mandat et qu' il"
98,il veut goûter l' eau avant de plonger » . En clair : pas question de se lancer dans une,réforme,"institutionnelle sans garantie d' aboutir et sans un minimum d' envergure . Place aux consultations , donc . Et la"
99,"première étape de ce parcours sera de recevoir ses deux prédécesseurs , Nicolas Sarkozy - qui avait fait voter une",réforme,"constitutionnelle d' ampleur en 2008 , notamment pour limiter à deux le nombre de mandats présidentiels consécutifs - et François"
100,"séparément . Dans l' esprit de Macron , il s' agit de les consulter . Pas de leur confier la",réforme,". À l' été , l' idée avait circulé , faisant de Sarkozy et de Hollande les pilotes d' un"
101,le cas d' Édouard Balladur à qui Nicolas Sarkozy avait confié la présidence du comité qui avait conduit à la,réforme,de 2008 . Ce ne sera pas le cas cette fois . L' actuel chef de l' État tient à
102,"contestation promet d' être forte à l' hôpital , où les syndicats ont appelé à la mobilisation jeudi contre la",réforme,"des retraites . Le relèvement de l' âge de départ à 64 ans inquiète les agents hospitaliers , dont l'"
103,"anticipé ( 17 ou 27 ans d' exposition ) , contrairement à ce qui s' était passé lors de la",réforme,"de 2010 , où elles avaient été allongées de deux ans . Pour autant , « 42 % des agents"
104,"une rencontre , mardi , avec l' Association des journalistes de l' information sociale ( Ajis ) . « La",réforme,"des retraites doit permettre un accès à la retraite tenant compte de la pénibilité réelle , afin de limiter les"
105,présenté dans quelques jours . Une baisse historique des naissances et une population vieillissante : à la veille d’ une,réforme,"des retraites , les chiffres du bilan démographique sont plus sensibles que jamais . « Les bébés de 2023 sont"
106,"garantir le fonctionnement du système de retraite par répartition . L’ hiver démographique , un « impensé » de la",réforme,? C’ est la petite musique qui commence à se faire entendre à quelques jours de la présentation du projet
107,le seuil de renouvellement des générations . Un niveau que les associations familiales appellent à retrouver pour assurer « une,réforme,"des retraites durable » . Des « discours malthusiens » Études plus longues , vie professionnelle plus dense ou contexte"
108,personnes dans les rues ? Combien de grévistes ? À la veille de la première journée de mobilisation contre la,réforme,"des retraites , Emmanuel Macron ne veut pas jouer les baromètres . Au choc de la rue , il oppose"
109,« Partage de la responsabilité » Emmanuel Macron fait même de cette majorité relative une chance pour faire aboutir cette,réforme,dans la mesure où elle oblige les acteurs à la responsabilité . C' est du moins sa lecture du soutien
110,n' a prévu aucune intervention solennelle ou télévisée . Mais il veut entendre valoriser les trois justifications majeures de cette,réforme,". La première , c' est l' équilibre budgétaire . Faute d' équilibre du régime des retraites , il n'"
111,du gouvernement et pas des syndicats . Un choc d' offre positif La troisième justification macronienne consiste à présenter la,réforme,"des retraites comme un des éléments d' une relance plus générale du pays . À la rentrée , le chef"
112,plan était vendu deux fois . L' exécutif est rapidement revenu au message suivant : tout euro dégagé par la,réforme,"servira exclusivement au financement des retraites . Ceci rappelé , Macron veut convaincre que faire travailler les Français globalement plus"
113,chef de l' État veut faire du travail la « bataille française » . C' est pourquoi il voit la,réforme,des retraites comme un des éléments d' un triptyque par ailleurs constitué par la réforme de l' assurance - chômage
114,est pourquoi il voit la réforme des retraites comme un des éléments d' un triptyque par ailleurs constitué par la,réforme,de l' assurance - chômage et par le chantier du lycée professionnel dont il attend un meilleur accès des jeunes
115,,RÉFORME,"des retraites , acte II , scène 1 . Après les concertations avec les partenaires politiques et sociaux ; après"
116,", scène 1 . Après les concertations avec les partenaires politiques et sociaux ; après la présentation officielle de la",réforme,par la première ministre ; après les réactions outragées des opposants au texte ... place à la rue . Elle
117,de la protestation et aux éventuels débordements . Car la journée de jeudi conditionnera en partie l' avenir de la,réforme,". Si le gouvernement affiche pour l' heure sa volonté d' aller au bout , certaines voix reconnaissent hors micro"
118,que toutes les hypothèses restent à l' étude . « On planifie toujours tous les scénarios quand on fait une,réforme,. Et personne ne dit qu' un processus de réforme ne comprend pas des discussions à un moment donné ...
119,On planifie toujours tous les scénarios quand on fait une réforme . Et personne ne dit qu' un processus de,réforme,"ne comprend pas des discussions à un moment donné ... » , glisse -t -on dans l' entourage de Macron"
120,le répète à satiété depuis un an et demi ? On peut en douter à écouter les opposants à la,réforme,": « Retraites : nous ne voulons pas passer notre vie à la gagner » , lit -on aujourd'hui ,"
121,"première ministre , pense que la survie est en jeu . Et d' autre part sur la finalité de la",réforme,": contrairement à ce qui est mis en avant , il ne s' agit pas tant de renflouer les caisses"
122,"rue , la rue contre les urnes . Confrontation classique chaque fois qu' il s' agit de faire passer une",réforme,"difficile ou impopulaire . D' Espagne , Emmanuel Macron a rappelé la légitimité qu' il avait à réformer les retraites"
123,"ampleur des cortèges . En privé , Macron évoque les précédents de 1995 et de 2010 , deux exemples de",réforme,"des retraites qui n' avaient pas été annoncées durant la campagne présidentielle qui avait précédé . L' issue , cependant"
124,"millions de manifestants . Ce que veut dire Macron , c' est que si Sarkozy a tenu bon sur une",réforme,"qu' il n' avait pas annoncée , lui a plus de raisons encore à tenir bon sur une réforme qu'"
125,"une réforme qu' il n' avait pas annoncée , lui a plus de raisons encore à tenir bon sur une",réforme,"qu' il a fait valider dans les urnes . En fait , l' actuel chef de l' État est dans"
126,Un président réélu - dans les deux cas contre un représentant de la famille Le Pen - faisant voter une,réforme,"des retraites environ un an après sa réélection , annoncée durant la campagne . Il s' agissait alors d' aligner"
127,. Ce qui prouve que la clarté du mandat reçu n' est pas la seule condition de réussite d' une,réforme,des retraites . La détermination de celui qui la conduit est tout aussi essentielle . Toutes ces réformes étaient nécessaires
128,avait la hantise de la rue ; ce qui l' a conduit ensuite à reculer sur le CPE ou la,réforme,du lycée . Alors que Sarkozy et Macron font de leur capacité à tenir face à la rue la griffe
129,opinion . Ce succès syndical se traduira sans doute dans les sondages qui devraient exprimer un rejet croissant de la,réforme,". Pour Emmanuel Macron , l' arme nécessaire n' est donc pas la détermination du premier jour , mais celle"
130,a bien dû se rendre à l' évidence : les syndicats ont remporté le pari de la mobilisation contre la,réforme,des retraites . Avec plus de 2 millions de manifestants revendiqués par la CGT et plus de 1 million recensés
131,"de force des syndicats , le président de la République a opposé la légitimité dont il dispose pour conduire la",réforme,et sa détermination à la mener à son terme . « Il faut que les choses soient dites au moment
132,"choses soient dites au moment où les choix démocratiques sont faits » , a expliqué Emmanuel Macron en défendant une",réforme,"« démocratiquement présentée , validée » et « surtout juste et responsable » . Avec une nuance toutefois que ne"
133,« surtout juste et responsable » . Avec une nuance toutefois que ne cessent de rappeler les opposants à la,réforme,"des retraites : si Emmanuel Macron a été réélu pour un second mandat , c' est plus pour faire barrage"
134,"avec beaucoup de calme » . Il n' empêche , au terme de la première journée de manifestation contre la",réforme,"des retraites , et malgré les heurts qui ont émaillé le cortège , les syndicats en ressortent renforcés et la"
135,de manifestation . Avec pour objectif d' amplifier la mobilisation pour accroître la pression sur le gouvernement . « La,réforme,"des retraites , c' est comme le passage du cap Horn . Soit le bateau casse , soit il passe"
136,"En 1995 , quand la grève contre la",réforme,"des retraites avait paralysé la France , internet était balbutiant . En 2019 , lorsque les syndicats s' étaient de"
137,"sur la durée de la vie . Ne serait -ce qu' entre 1995 , date des grandes grèves contre la",réforme,"des retraites de Juppé , et 2022 , l' espérance de vie est passée de 81,9 ans à 85,2 ans"
138,-elle pas parvenue à embarquer sur les plateaux de télévision des représentants de la jeunesse pour s' élever contre une,réforme,"qui vise pourtant à préparer - si peu , mais quand même - le monde qui leur parvient ?"
139,Alors que les syndicats affichent leur cohésion contre la,réforme,"du gouvernement , la gauche se divise . Sur un char du syndicat SUD Solidaires , une enfant d’ une"
140,d’ y être . « Il faut soutenir tout ce qui peut permettre de faire plier le gouvernement sur cette,réforme,totalement injuste et égoïste . » Avec un avertissement à l’ adresse de tous : « S’ il n’ y
141,"LE SIMULATEUR de retraites du gouvernement fonctionne à plein régime , mais , face à la",réforme,", les Français semblent toujours aussi remontés . Calcul des trimestres , dispositif « carrières longues » , prise en"
142,"en 1986 , la question des retraites est toujours un horizon qui s' éloigne : rien ne garantit que cette",réforme,"sera la dernière et sera suffisante , s' exclame ce fonctionnaire bac + 8 . Pour moi , c' est"
143,10 et 15 ans dont il va falloir payer les études . » Lui est « plutôt pour » la,réforme,", et se félicite « surtout de la fin des régimes spéciaux » . « On ne peut pas tout"
144,"de distance par rapport aux horaires » . Née en mai 1960 , elle « échappe de peu à la",réforme,"» , et s' en trouve « fort satisfaite » . À la retraite depuis le 1er janvier seulement ,"
145,"alors que « seuls 56 % des 55 - 64 ans sont en emploi » , le préalable de la",réforme,"devrait être la valorisation du travail des seniors . « Quand vous vous sentez reconnus dans votre travail , vous"
146,"bombe sociale et la bombe de la dette , l' exécutif a pris le risque d' ouvrir , avec une",réforme,"plus symbolique que substantielle , une incertaine boîte de Pandore . * Arnaud Benedetti est professeur associé à l' université"
147,question qui ne date pas d' hier : pourquoi la France est-elle si difficile à réformer ? Et pourquoi chaque,réforme,"symboliquement chargée , même si son contenu programmatique se révèle finalement plutôt modeste , conduit -elle des centaines de milliers"
148,Alors que le projet de,réforme,"des retraites chemine vers le Parlement , syndicats et partis d' opposition ont mobilisé leurs troupes contre le texte dont"
149,"chef de l' État : désormais , et avant même que le texte n' arrive dans l' Hémicycle , la",réforme,d' Emmanuel Macron se heurte aux frondeurs de son propre camp . L' aile gauche de la majorité reprochant au
150,"de faire preuve de pédagogie , de se montrer à l' écoute sans pour autant reculer . Le projet de",réforme,"est présenté ce lundi en Conseil des ministres . L' exécutif s' emploie à convaincre les opposants , mais également"
151,"du report de l’ âge . En effet , d’ ores et déjà un tiers des économies attendues de la",réforme,vont servir à financer de nouvelles dépenses sociales . « Sur les 18 milliards d’ euros d’ économies attendus de
152,servir à financer de nouvelles dépenses sociales . « Sur les 18 milliards d’ euros d’ économies attendus de la,réforme,", 6 milliards d’ euros sont déjà consacrés aux mesures d’ accompagnement , ce qui montre à quel point l’"
153,le Haut Conseil estime « ne pas être en mesure d’ évaluer l’ incidence de moyen terme » de la,réforme,des retraites sur les finances publiques compte tenu « du caractère incomplet des informations » qui lui ont été transmises
154,La,réforme,a été présentée en Conseil des ministres ce lundi . Élisabeth Borne dit vouloir « rester à l’ écoute »
155,« rester à l’ écoute » . L’ exécutif garde son cap . Bousculé par la contestation du projet de,réforme,"des retraites , il a présenté son texte , lundi , en Conseil des ministres . Sans plier quant à"
