Index,Texte précédent,Mot,Texte suivant
24,dans son entourage . La suite ne dépend plus de lui désormais puisque c' est devant le Parlement que le,gouvernement,"défend la réforme . » Alors , pendant ce temps , Emmanuel Macron vaque à ses occupations de président ,"
25,million ) semble écarté . « Une manifestation ou une mobilisation repose sur le fait de se demander si le,gouvernement,"ira jusqu' au bout » , explique un ministre . Pour l' heure , l' exécutif fait assaut de volontarisme"
26,"crise des « gilets jaunes » ( 74 % ) . Un « M. ZFE » Pour autant , le",gouvernement,s' interroge quant à la perspective qu' une étincelle venue d' un sujet connexe vienne enflammer tout le débat public
27,"de la droite dans la construction de la réforme des retraites , certains députés restent fortement hostiles au texte du",gouvernement,. Les ténors LR se félicitent d' avoir su imposer leurs « exigences » à Élisabeth Borne mais certains élus
28,certains élus continuent d' exprimer leurs réticences . Aurélien Pradié pose trois conditions et pressent une « entourloupe » du,gouvernement,", comme il l' a confié au journal Le Point , samedi . Dans les Vosges , Stéphane Viry considère"
29,"la vingtaine d' élus mal à l' aise avec ce texte , y compris autour de Laurent Wauquiez . Ce",gouvernement,"n' a toujours pas compris qu' il ne suffit pas de traiter avec Éric Ciotti , Bruno Retailleau et Olivier"
30,les « quarante voix » de la droite attendues par Borne ne sont pas acquises . Le parlementaire reproche au,gouvernement,de parler « beaucoup » de concertation en ayant tout construit « entre Noël et l' Épiphanie » . «
31,si tout indique qu' il n' a pas l' intention d' y apporter sa voix . Si d' aventure le,gouvernement,"décidait de passer par un 49.3 pour faire adopter sa réforme , ce serait alors un « casus belli »"
32,invite chacun à mesurer la réforme à la lumière des expertises de la droite et des études d' impact du,gouvernement,". « Au - delà des postures et sans accorder de blanc-seing à n' importe quel prix , nous allons"
33,"entièrement examiné , le projet de loi est alors directement transmis en l’ état au Sénat , sans que le",gouvernement,n’ ait besoin de passer en force en ayant recours à l’ article 49.3 de la Constitution . Et sans
34,"Ainsi , les aides - soignantes partiront à 59 ans au lieu de 57 ans . En revanche , le",gouvernement,n' a pas modifié l' âge d' annulation de la décote ( il reste à 62 ou 57 ans pour
35,"les cotisants de 2043 » , alerte l’ Unaf ( Union nationale des associations familiales ) , qui invite le",gouvernement,"à se saisir de l’«enjeu national » de la natalité , « indispensable pour préserver la solidarité entre générations »"
36,"retraités , les chômeurs ... Ainsi , la proposition d' un minimum à 85 % du smic est venue du",gouvernement,et pas des syndicats . Un choc d' offre positif La troisième justification macronienne consiste à présenter la réforme des
37,"exécutif . La scénographie a beau être habituelle , elle n' en demeure pas moins source d' inquiétude pour le",gouvernement,", qui joue sur le registre de l' humilité et de la détermination en même temps . « C' est"
38,aux éventuels débordements . Car la journée de jeudi conditionnera en partie l' avenir de la réforme . Si le,gouvernement,"affiche pour l' heure sa volonté d' aller au bout , certaines voix reconnaissent hors micro que toutes les hypothèses"
39,"il y a trois millions de personnes dans la rue , on verra » , confie un poids lourd du",gouvernement,". Au risque de voir le piège des pronostics se refermer sur l' exécutif . « Fixer un objectif ,"
40,"un retournement de situation . « Sur le nucléaire , l' opinion a complètement basculé , observe un membre du",gouvernement,". On peut connaître le même phénomène sur les retraites , mais c' est loin d' être le plus probable"
41,les cortèges » .Comme le résumait Jean-Luc Mélenchon à Marseille avant le départ de la manifestation parisienne : « Le,gouvernement,a perdu sa première bataille » . D' autres sont à venir . À la démonstration de force des syndicats
42,d' une nouvelle journée de manifestation . Avec pour objectif d' amplifier la mobilisation pour accroître la pression sur le,gouvernement,". « La réforme des retraites , c' est comme le passage du cap Horn . Soit le bateau casse"
43,"soit il passe . On est partis pour cinquante jours de gros temps » , résume un poids lourd du",gouvernement,. Soit le temps dont dispose le Parlement pour adopter le texte après sa présentation en Conseil des ministres le
44,Alors que les syndicats affichent leur cohésion contre la réforme du,gouvernement,", la gauche se divise . Sur un char du syndicat SUD Solidaires , une enfant d’ une dizaine d’"
45,", Autain est impressionnée par ce fleuve qui semble déborder de son lit . La pression est forte sur le",gouvernement,". Elle est aussi forte sur les responsables de la gauche , de LFI en crise à un PS qui"
46,Sebaihi prévoit ainsi d’ y être . « Il faut soutenir tout ce qui peut permettre de faire plier le,gouvernement,sur cette réforme totalement injuste et égoïste . » Avec un avertissement à l’ adresse de tous : « S’
47,LE SIMULATEUR de retraites du,gouvernement,"fonctionne à plein régime , mais , face à la réforme , les Français semblent toujours aussi remontés . Calcul"
48,Alors que,gouvernement,d' un côté et syndicats de l' autre s' apprêtent à se lancer dans un de ces bras de fer
49,"d’ idées pour « améliorer » le texte lors du débat à l’ Assemblée , la marge de manœuvre du",gouvernement,est faible . Difficile pour Élisabeth Borne de rajouter des mesures « sucrées » pour contrebalancer la mesure « salée
50,"manquer de responsabilité vis-à-vis des générations à venir » , a plaidé Olivier Dussopt . Autre concession majeure : le",gouvernement,qui avait promis de revaloriser les petites retraites à 85 % du smic brut pour les nouveaux retraités ( le
51,"euros en 2027 et de 1,7 milliard en 2030 , d’ après l’ étude d’ impact . Saisi par le",gouvernement,", le Haut Conseil des finances publiques estime que le relèvement de trois mois de l’ âge de départ à"
52,sur les finances publiques compte tenu « du caractère incomplet des informations » qui lui ont été transmises par le,gouvernement,. Il rappelle cependant que le retour à des niveaux de dette permettant à la France de disposer de marges
53,et aux besoins d’ investissement public liés notamment aux enjeux climatiques » . D’ autant que le scénario macroéconomique du,gouvernement,est jugé optimiste . Le Haut Conseil juge que la prévision de croissance ( + 1 % ) dans le
54,"projet de loi de financement de la Sécurité sociale rectificatif ( PLFSSR ) reste élevée . Justifiée , selon le",gouvernement,", par la résilience de l’ économie française au troisième trimestre 2022 et l’ acquis de croissance pour 2023 ,"
55,"la durée de cotisation ni l’ âge de départ à la retraite , mais c’ est la responsabilité de mon",gouvernement,", c’ est ma responsabilité , de garantir l’ avenir » du système par répartition . Même si , elle"
56,Mais les marges de manœuvre sont restreintes alors que l’ opinion se focalise sur le seul âge légal . Le,gouvernement,"ne veut pas davantage se pencher sur la durée légale du travail hebdomadaire , soulevée par son allié du MoDem"
57,". Pour ne pas rogner sur le pouvoir d’ achat des salariés qui font des heures supplémentaires , « le",gouvernement,"n’ a aucune intention d’ ouvrir un débat sur les 35 heures » , a tranché la première ministre en"
58,", a -t -elle poursuivi au moment où de plus en plus de responsables macronistes émettent des nuances . Le",gouvernement,"a pour lui l’ arme de l’ article 47 - 1 de la Constitution , qui lui permettra d’ examiner"
59,"encore « un débat lisible , projet contre projet » . D’ ici le début du rendez-vous parlementaire , le",gouvernement,"aura à affronter une deuxième journée de manifestations syndicales , le 31 janvier . « On verra si ( le"
60,qui ont eu des carrières hachées ou interrompues sont certes les premières bénéficiaires des mesures de solidarité prévues par le,gouvernement,. Elles bénéficient du maintien de l’ âge d’ annulation de la décote à 67 ans ( elles sont 20
61,pour liquider à taux plein ) . Elles seront également les premières gagnantes du relèvement des petites pensions . Le,gouvernement,a également annoncé la prise en compte des congés parentaux pour le calcul de la durée pour les carrières longues
62,Emmanuel Macron faire le « sale boulot » . LR retrouve ainsi à moindres frais un statut de parti de,gouvernement,. D' autant que son objectif le plus porteur est de regagner une grande part des électeurs que l' on
63,"- le , inéligible lors de la présidentielle à venir . Que penser de l' attitude des Républicains poussant le",gouvernement,à réduire les ambitions de son texte ? Leur jeu a aussi consisté à être plus proches des préoccupations des
64,Un futur déficit éventuel nécessitera -t -il à nouveau de réformer les retraites ? Silence radio de la part du,gouvernement,", qui élude systématiquement la question . Tout juste son porte-parole , Olivier Véran , ose -t -il déclarer :"
65,"petits pas , afin d' éviter de gripper la société . D' un côté , le système politique majoritaire –",gouvernement,et oppositions qui sont face à face – ne se prête pas à la culture du compromis . De l'
66,"âge légal – , ont gardé un pouvoir de nuisance non négligeable . Ces cartes étant dans les mains du",gouvernement,", l' exécutif sait qu' il ne peut pas aller trop loin sur cette réforme . Au risque de brusquer"
67,"lors de la crise des gilets jaunes . Au risque , aussi , de bloquer le pays , comme le",gouvernement,"Juppé en 1995 . Au risque , enfin ... de devoir revenir sur ce dossier éruptif que sont les retraites"
68,"réforme « inutile » . En revanche , l' économiste met en doute « l' urgence » affichée par le",gouvernement,": « Nous ne sommes pas dans une situation qui nécessiterait de la faire tout de suite » , estime"
69,"l' économiste à l' OFCE , « il aurait fallu attendre que l' économie se soit stabilisée » . Le",gouvernement,"cherche davantage , avec cette réforme , à « protéger les finances publiques et rassurer les marchés financiers » ,"
70,", expliquant qu' il se basait sur « les données , pour les régimes de base , fournies par le",gouvernement,"» . En outre , pointe Nicolas Marques , « on ne peut pas se réjouir que les dépenses de"
71,"lié aux fonctionnaires . Ainsi , à la question de la nécessité d' une réforme telle que proposée par le",gouvernement,", il s' agit d' un choix politique qui s' avère défendable d' un point de vue financier ."
72,". La première concerne , sans surprise , l' âge de 64 ans instauré par la réforme des retraites du",gouvernement,. « Les saisonniers ont des métiers intenses et on ne peut pas demander à un salarié des remontées mécaniques
73,"de saisonniers dans les dix années à venir » , alerte Eric Becker . Il attend désormais une réponse du",gouvernement,d' ici le 7 mars et « n' exclut pas de durcir le mouvement » si rien ne se passe
74,explique probablement par le fait que plus de la moitié des sondés ( 58 % ) veut croire que le,gouvernement,va « plier » . « Une modification du texte » Cela n' implique pas forcément d' abandonner carrément la
75,"en cinquante jours , dont seulement vingt pour la première lecture au Palais Bourbon . Une règle qui permet au",gouvernement,", passé le délai de vingt jours , de saisir le Sénat sans même qu' il n' y ait besoin"
76,"députés de la Nupes . « Après le 49.3 , le 47 - 1 est une nouvelle manière pour le",gouvernement,"de passer en force sans débattre » , cingle par exemple le député communiste Pierre Dharréville . « Cela paraît"
77,"45 heures , 13 séances ) . Mais l' opposition n' en démord pas , la méthode choisie par le",gouvernement,pour cette réforme les contraint . « Cela nous empêche de dérouler notre projet car le débat va durer trois
78,"la droite est surreprésentée en CMP . À partir de là , il serait d' une simplicité enfantine pour le",gouvernement,"de toper avec eux » , analyse un socialiste . En cas d' accord , le projet de loi issu"
79,la grève . Du classique en ce qui concerne une réforme des retraites depuis des années en France . Au,gouvernement,"on ne croit pas , à ce moment -là , au blocage du pays et donc du projet . Il"
80,d’ ailleurs l’ espoir de la gauche de faire se lever les Français contre lui sur ce thème . Au,gouvernement,"comme dans l’ opposition , tout le monde a compris que le malaise français venait du rapport au travail ,"
81,", une dizaine d’ entre eux ont fait savoir qu’ ils pourraient ne pas voter en faveur du texte du",gouvernement,". Dans la majorité , on a bien noté le comportement hostile de Xavier Bertrand , le patron de la"
82,"hésitants , notamment ceux sensibles aux protestations de l’ électorat populaire sur leurs terres électorales . Or , si le",gouvernement,"veut éviter le recours au couperet de l’ article 49 - 3 , il a besoin non seulement que sa"
83,"ce cas -là » , estime un élu - , aucun groupe des oppositions ne le souhaite . Si le",gouvernement,a recours à l’ article 47 - 1 ( si le texte à l’ Assemblée n’ est pas adopté en
84,"sera néanmoins adoptée avec le soutien de la CFDT , dirigée par François Chérèque , après des négociations avec le",gouvernement,"sur la pénibilité . La CGT de Bernard Thibault défile , mais n’ appelle pas à la grève générale ."
85,années . Un autre élément met en sourdine les envies des conducteurs de la RATP d' en découdre avec le,gouvernement,: si la réforme des retraites doit s' appliquer dès le 1er septembre 2023 pour les employés du secteur privé
86,"autres éléments du statut ne sont pas remis en cause . Et , avec la clause du grand-père , le",gouvernement,a garanti aux collaborateurs actuels de la Régie qu' ils auraient toujours droit au régime spécial . Faire grève pour
87,leurs interrogations logiques même si les trois conditions préalables qui avaient été posées par la droite sur la table du,gouvernement,"ont été acceptées ( revalorisation à 1 200 euros , impossibilité d’ un hold - up sur les réserves du"
88,"ici là d’ autres paramètres vont s’ inviter , comme la contestation sociale , la poursuite du dialogue avec le",gouvernement,"et même les prochaines discussions internes , comme celle prévue demain , rue de Vaugirard , dans un format resserré"
89,", la droite n’ a pas l’ intention d’ assumer la responsabilité d’ un échec éventuel . « Si le",gouvernement,"n’ arrive pas à mettre en œuvre cette réforme , il ne faudra pas nous l’ imputer . Nous avons"
90,"avons essayé de la rendre moins brutale , plus juste et mieux acceptable . Le reste est l’ affaire du",gouvernement,"» , prévient la députée du Doubs . Nombre de LR continuent de croire que cette réforme est indispensable ,"
91,attendent à tous les scénarios . Le chef de file de la droite à l’ Assemblée estime déjà que le,gouvernement,pourrait se heurter à « ses propres incohérences politiques et économiques » . « Personne ne voit Emmanuel Macron dans
92,"Les manifestations et les grèves , ce mardi , seront suivies de près par le",gouvernement,"et le chef de l’ État , qui entendent rester inflexibles . L’ hostilité persistante à la réforme des retraites"
93,"Mais « s’ il y a plus de monde , ce sera problématique » , s’ inquiète un membre du",gouvernement,. Emmanuel Macron n’ entend pas pour autant flancher . Tout en laissant sa première ministre et son gouvernement se
94,du gouvernement . Emmanuel Macron n’ entend pas pour autant flancher . Tout en laissant sa première ministre et son,gouvernement,"se débattre face aux manifestants . « Le président choisira son moment pour s’ exprimer , s’ il doit le"
95,"brandi pendant la campagne présidentielle . Lors d’ une réunion organisée à Matignon , dimanche soir , la chef du",gouvernement,a invité les ministres présents à être « à l’ offensive » et à « monter au front » .
96,"pour ne pas faire déborder le vase de la mobilisation » , selon l’ analyse faite par un membre du",gouvernement,. Un conseiller abonde : « Les seniors et les femmes ce sont les seuls points qui peuvent évoluer lors
97,"d’ autres édiles en France , de fermer l’ hôtel de ville de Paris . Une action critiquée par le",gouvernement,". « Ils confondent leur fonction et leurs convictions » , s’ est agacé un ministre , dénonçant une action"
98,"Palais Bourbon . Secrétaire national du PCF , Fabien Roussel , présent dans le cortège parisien , a accusé le",gouvernement,"de « fracturer durement » le pays . Depuis Marseille où il s’ était rendu , comme le 19 janvier"
99,"des retraites ? Le scénario que l’ exécutif redoutait , une mobilisation en hausse , est devenu réalité . Le",gouvernement,est contraint d’ adapter son récit . Après celui d’ une réforme qui financera les prochains grands chantiers du pays
100,budgétaire … ) . Les positions évasives du Conseil d’ orientation des retraites ( COR ) n’ aident pas le,gouvernement,à cadrer le débat . Au point que la première ministre s’ est interrogée lors de ses vœux à la
101,voient d’ un bon œil le potentiel blocage du pays « car c’ est le seul moyen pour que le,gouvernement,"retire ou modifie sa réforme » . C’ est trois points de plus en une semaine , bien que se"
102,"du texte en séance publique au Palais Bourbon , lundi . Après une bataille de l’ opinion perdue , le",gouvernement,ne peut pas se permettre des déconvenues dans l’ Hémicycle .
103,ça casse . « Le président est dans le temps long et garant de l’ agenda des réformes . Son,gouvernement,"est missionné pour porter la réforme des retraites , mais lui doit réaliser l’ ensemble des engagements qu’ il a"
104,voter la réforme des retraites malgré leurs états d’ âme . « Ils ont les clés pour faire tomber le,gouvernement,", reconnaît un ministre . Mais ils sont ceux qui y ont le moins intérêt . » Ensuite pour renvoyer"
105,"janvier , jour de lancement des grandes manifestations , quand lui se trouvait en Espagne avec une bonne partie du",gouvernement,"pour signer des accords de coopération diplomatique . Autant de cartes postales qui visent , espère -t -il , à"
106,"mardi des « grèves plus dures , plus nombreuses , plus massives , et reconductibles » . « Si le",gouvernement,"persiste à ne pas écouter , forcément il faudra monter d’ un cran » , a mis en garde le"
107,"est à portée de main » , a complété le secrétaire national du PCF , Fabien Roussel . « Le",gouvernement,"est dans une impasse et sa majorité est en train de se fissurer , croit savoir de son côté la"
108,durée . Le soutien impassible de l’ opinion publique aux blocages engendrés finit par semer le doute au sein du,gouvernement,". Les Français , toujours plus nombreux dans les rues , sont jugés trop hostiles , et le président Jacques"
109,"socialiste , Olivier Faure , a résumé sur LCI la situation en une interrogation . « Est -ce qu’ un",gouvernement,"peut gouverner contre l’ opinion ? Contre celles et ceux qui sont , en fait , le vrai souverain ?"
110,"mort tragique de Malik Oussekine , 22 ans , lors d’ une intervention des forces de l’ ordre , le",gouvernement,"met fin à son ambition . L’ incident est loin d’ être anodin , et se retrouve même « très"
111,"( CPE ) pour les jeunes de moins de 26 ans . La contestation dure plusieurs semaines , et le",gouvernement,", qui publie la loi au Journal officiel , finit par la retirer . « Ce recul a été une"
112,"arborant une chasuble Solidaires rose battait le pavé aux côtés de sa collègue , Patricia : si le projet du",gouvernement,"passe , tous deux devront travailler quelques années de plus . Une mesure qui , ajoutée à une inflation écrasante"
113,"a pu gonfler les cortèges . De même , les cadres sont plus nombreux que prévu à s' opposer au",gouvernement,": « On voit un frémissement chez eux , c' est un élément assez nouveau , leurs revendications et comportements"
114,Et au cours de laquelle certains détectent une montée d' un antimacronisme . « Le mécontentement à l' égard du,gouvernement,"est évident » , souffle Jimmy Pahun . Si bien qu' un poids lourd du camp Macron s' inquiète :"
115,", souffle un syndicaliste . Un leader syndical se montre toutefois moins affirmatif : si les opposants perdent face au",gouvernement,", rien ne dit que les manifestants , furieux , rentreront chez eux , ou que la mobilisation ne changera"
116,"une que l' autre . Le seul pacte à nouer , c' est avec les Français , pas avec le",gouvernement,". Pour l' avenir , la droite ne fera rien de grand , ni pour elle ni pour le pays"
117,"n' accepte pas cette réforme des retraites , appuie Fabien Di Filippo , clairement opposé au projet de loi du",gouvernement,. Elle nous dit : « Pourquoi le gouvernement demande toujours des efforts aux mêmes et fait des chèques toujours
118,"Fabien Di Filippo , clairement opposé au projet de loi du gouvernement . Elle nous dit : « Pourquoi le",gouvernement,demande toujours des efforts aux mêmes et fait des chèques toujours aux mêmes ? » Il faut d' abord en
119,cartes dans sa manche . Satisfaction pour les syndicats : les cortèges n’ ont pas décru . Soulagement pour le,gouvernement,": ils n’ ont pas progressé non plus . Voulue de longue date par Jean-Luc Mélenchon , proposée par Laurent"
120,"de la Banque de France , par exemple . Significatif renversement des priorités politiques . Mais cela conduit aussi le",gouvernement,"à adapter son discours . « La réforme , c’ est pour ne pas mettre en danger le paiement de"
121,la CFDT . L' ombre d' une grève reconductible Les organisations syndicales préviennent toutefois que « si malgré tout le,gouvernement,"et les parlementaires restaient sourds à la contestation populaire , l' intersyndicale appellerait les travailleurs et les travailleuses , les"
122,"anti-capitalisme . C' est cela notre France contemporaine , servile et révoltée , indocile et obséquieuse , demandant tout au",gouvernement,"qu' elle fustige en même temps , dans une relation adolescente de rébellion / soumission . En panne de destin"
123,"la motion du parti n' avait rien de contraignant , elle a permis au président des LR de montrer au",gouvernement,qu' une majorité de parlementaires le suivait et voterait ce texte . Et de réaffirmer ainsi son autorité sur le
124,"Je l' ai déjà dit et redit . » Quelques heures plus tard , lors des séances d' actualité du",gouvernement,", les parlementaires LR ont tout de suite perçu qu' Élisabeth Borne prenait la peine de répondre personnellement à la"
125,"ans , puis ce mardi sur ceux qui débutent entre 17 et 20 ans . « Il faut que le",gouvernement,"avance sur la totalité du sujet des carrières longues et je le saluerai » , affirme le député du Lot"
126,"Les étudiants qui n' ont rien demandé subissent , déplore -t -il . Ils gênent plus les étudiants que le",gouvernement,"» . L' UNI , syndicat de la droite étudiante , dénonce quant à lui la présence « de nombreux"
127,"Élisabeth Borne à de nouveaux reculs sur le dispositif carrières longues . Surtout , cela n' a pas empêché le",gouvernement,"d' être mis en échec le soir même sur son index senior , à l' Assemblée nationale . C' est"
128,"soutien à cette mesure , ou au moins , une abstention . Avec un objectif : ne pas braquer le",gouvernement,", avec lequel un accord sur la réforme a été scellé , sur la base d' intérêts communs . Mais"
129,dire un observateur de nos débats récurrents autour de la retraite . Non pas que la réforme proposée par le,gouvernement,soit exempte de toute critique . Ayant défendu le changement systémique inspiré des Scandinaves ( la retraite à points )
130,deux bonnes raisons de réformer notre système de retraite . Je ne dis pas de le réformer tel que le,gouvernement,"le propose , mais en tous les cas d' allonger la période de travail . La première , c' est"
131,"venir à s' arrêter si la grève durait . Recours à l' importation Dans ce cas de figure , le",gouvernement,"pourrait abattre la carte des réquisitions de personnel , comme il avait fini par le faire en octobre dernier ,"
132,"on ne laisserait pas cela faire » , a déclaré le ministre des Transports mercredi matin , indiquant que le",gouvernement,dispose de « tous les outils juridiques pour intervenir » . Un spécialiste se risque à pronostiquer qu' il faudrait
133,d' octobre a démarré alors que les stocks étaient exceptionnellement bas en raison des ristournes cumulées de TotalEnergies et du,gouvernement,"sur les carburants . Aujourd'hui , les stocks sont pleins » , poursuit -il . La mobilisation n' est pas"
134,"Après quinze jours de débats tumultueux à l' Assemblée nationale , le projet de loi du",gouvernement,"sur les retraites arrive au Sénat , en commission ce 28 février et le 2 mars en séance publique ."
135,"Sénat tâchera de donner une autre image avec des débats de fond , en complétant le projet de loi du",gouvernement,". Nous allons nous efforcer d' arriver à un vote clair » , plaide -t -il . En raison de"
136,", plaide -t -il . En raison de l' article 47 - 1 de la Constitution , utilisé par le",gouvernement,", et faute de vote à l' Assemblée nationale , les sénateurs plancheront donc sur le projet de loi du"
137,", et faute de vote à l' Assemblée nationale , les sénateurs plancheront donc sur le projet de loi du",gouvernement,", complété des amendements que l' exécutif a bien voulu retenir . Et la majorité sénatoriale a la ferme intention"
138,sur la durée de cotisation et l' âge de départ légal à la retraite . De quoi faire espérer le,gouvernement,". Élisabeth Borne a d' ailleurs échangé vendredi avec le président du Sénat , Gérard Larcher , ainsi que les"
139,"des femmes - lors de l' examen du texte . Interrogé sur France Inter jeudi dernier , le porte-parole du",gouvernement,", Olivier Véran , a fait le « constat » que le parti Les Républicains au Sénat avait « déjà"
140,"va coûter très cher » , regrette Hervé Marseille en faisant le calcul de tous les points sur lesquels le",gouvernement,"a lâché . Samedi , en marge d' un déplacement au Salon de l' agriculture , le président de la"
141,"Retailleau . Elles ont permis de consolider notre modèle , et là elles se retrouvent fragilisées par le projet du",gouvernement,. » Un point sur lequel les sénateurs de l' Union centriste comptent bien aussi se faire entendre . Le
142,"bouger » sur ce point précis . Dimanche , sur BFMTV , le ministre du Travail a précisé que le",gouvernement,"était « d' accord et ouvert » , concédant qu ' « avoir des âges de départ différenciés entre les"
143,"farouche opposition , les différents groupes de gauche du Sénat attendent eux aussi de retravailler le projet de loi du",gouvernement,. Et ne souhaitent pas se livrer au même « cirque » - dixit Patrick Kanner - que les Insoumis
144,sont intervenus » . Un scénario redouté par la gauche . « Les débats ont déjà été contraints par le,gouvernement,". J' espère que Gérard Larcher ne choisira pas de faire de l' obstruction en nous censurant » , tance"
145,Le troisième gagnant du débat est un absent : il s' agit de la capitalisation . Une option que le,gouvernement,n' a pas explorée . L' incipit de sa réforme est au contraire de défendre la survie de la répartition
146,"prévu pour 2030 . « Préserver notre système de retraite par répartition » , c’ est la motivation que le",gouvernement,"ne cesse de mettre en avant pour défendre sa très décriée réforme des retraites . Depuis de nombreuses semaines ,"
147,". L’ objectif affiché de la réforme est de combler ce trou . Et , pour y parvenir , le",gouvernement,compte sur le report de deux ans de l’ âge légal du départ à la retraite assorti de l’ augmentation
148,"euros , soit de quoi laisser en théorie 4,2 milliards de marge . Or , depuis quelques semaines , le",gouvernement,"semble avoir desserré les cordons de la bourse . Et à force de multiplier les concessions coûteuses , il pourrait"
149,une surcote de pension de 5 % pour les mères de famille . Cette mesure regardée avec intérêt par le,gouvernement,"coûterait au bas mot « 300 millions d’ euros » , selon Bruno Retailleau . La facture du CDI senior"
150,"débat sur ce système par capitalisation » , a accordé Olivier Dussopt . Le rapport doit être remis par le",gouvernement,au Parlement avant octobre .
151,". Retrouver la maîtrise du travail La question n' est pas ou pas seulement , de savoir qui , du",gouvernement,"ou des syndicats , l' emportera sur la question des 64 ans , c' est de sortir de cette crise"
152,"Julie , cadre dans l’ esthétique , s’ énerve les jours de grève , ce n’ est pas contre le",gouvernement,", mais contre « ces gens qui nous empêchent de travailler » : « Évidemment , on a plein d’"
153,"est pas à exclure du champ des possibles . Pour certains , c' est l' hypothèque issue d' un éventuel",gouvernement,"des juges . Pour d' autres , c' est une hypothèse découlant du travail respectable des Sages . Un texte"
