Index,Texte précédent,Mot,Texte suivant
20,publics . À quand un vrai service minimum dans les trains et les métros pour qu' enfin le droit de,grève,de quelques-uns cesse de s' imposer au mépris du droit de travailler de millions d' autres ? On peut toujours
21,le gouvernement a garanti aux collaborateurs actuels de la Régie qu' ils auraient toujours droit au régime spécial . Faire,grève,pour les autres trouve vite ses limites . Le nouveau contexte social à la RATP joue aussi son rôle .
22,"» , s’ est félicité Laurent Berger , au cœur du cortège parisien . Malgré une baisse des taux de",grève,"dans la fonction publique , à la SNCF ou encore du côté de l’ Éducation nationale , les rues de"
23,"comme dans les plus grandes » . Mais à la différence de samedi dernier , où l' appel à la",grève,"n' était pas de mise pour ne pas compliquer le chassé - croisé des vacances d' hiver , jeudi prochain"
24,"sera « perturbé » sur les lignes de la SNCF , mais beaucoup moins que lors des précédents jours de",grève,". Quatre TGV sur cinq circuleront en moyenne , et un TER sur deux . Aucun train de nuit ne"
25,"dix sont supprimés au départ de l' aéroport d' Orly , en région parisienne . Ailleurs en France , la",grève,des contrôleurs aériens a conduit l' administration à demander l' annulation de 20 % des vols depuis les aéroports de
26,"20 % des vols depuis les aéroports de Toulouse , Marseille , Lyon , Montpellier et Nantes . Préavis de",grève,dans la fonction publique Un préavis de grève a été déposé par les fédérations de la fonction publique des différentes
27,"Toulouse , Marseille , Lyon , Montpellier et Nantes . Préavis de grève dans la fonction publique Un préavis de",grève,a été déposé par les fédérations de la fonction publique des différentes organisations syndicales . La CGT - Services publics
28,de la fonction publique des différentes organisations syndicales . La CGT - Services publics a même déposé un préavis de,grève,"portant sur l' ensemble du mois de février . Pour autant , la part de salariés grévistes parmi les fonctionnaires"
29,"débattu à l' Assemblée nationale » explique Yvan Ricordeau , secrétaire national de la CFDT . L' ombre d' une",grève,reconductible Les organisations syndicales préviennent toutefois que « si malgré tout le gouvernement et les parlementaires restaient sourds à la
30,"dans le secteur ferroviaire , SUD-rail , la CGT - Cheminots et l' intersyndicale RATP ayant déjà appelé à une",grève,massive et reconductible . Des cheminots ont ainsi déjà déposé leurs déclarations d' intention de grève alors que cela est
31,déjà appelé à une grève massive et reconductible . Des cheminots ont ainsi déjà déposé leurs déclarations d' intention de,grève,"alors que cela est possible jusqu' à 48h avant le jour J. Toutefois , le numéro un de la CFDT"
32,"CFDT , Laurent Berger , a précisé de son côté ne pas encore être « dans la logique de la",grève,"reconductible » et que « ce n' est pas un appel à la grève générale » non plus , expliquant"
33,« dans la logique de la grève reconductible » et que « ce n' est pas un appel à la,grève,"générale » non plus , expliquant que le 7 mars fera l' objet d' un « appel à la grève"
34,"grève générale » non plus , expliquant que le 7 mars fera l' objet d' un « appel à la",grève,"de 24 heures mais pas forcément davantage » . Comme le rappelle au Figaro Yvan Ricordeau , le mot «"
35,"tout le monde veut sauver la planète , mais personne ne veut aider maman à faire la vaisselle . La",grève,"enfin : elle est notre sport national , notre fierté , notre made in France . À l' automne 2010"
36,"à l' avant-garde du plus grand parti de France , le parti de la trouille . Notre passion pour la",grève,"est moins un signe de vitalité démocratique que de routine , bel exemple d' une conquête devenue symptôme d' atonie"
37,dans les raffineries s' installent dans le temps . « Tout va dépendre de la poursuite ou pas de la,grève,", de son intensification ou pas » , a déclaré Francis Pousse à l' AFP . Un autre engrenage inquiète"
38,Les activités de production continuent elles à tourner à plein . Elles pourraient toutefois venir à s' arrêter si la,grève,"durait . Recours à l' importation Dans ce cas de figure , le gouvernement pourrait abattre la carte des réquisitions"
39,"la carte des réquisitions de personnel , comme il avait fini par le faire en octobre dernier , lorsqu’ une",grève,de plusieurs semaines chez TotalEnergies avait paralysé le système de distribution . « S' il y avait des blocages réels
40,les outils juridiques pour intervenir » . Un spécialiste se risque à pronostiquer qu' il faudrait que le mouvement de,grève,"se poursuive sur plusieurs jours , voire plusieurs semaines , avant d' observer de premières graves pénuries dans le pays"
41,"le sol français , les pétroliers peuvent toujours recourir à l' importation . Mais alors , comment expliquer que la",grève,reconductible de la CGT - TotalEnergies au mois d' octobre ait pu à ce point paralyser les chaînes d' approvisionnement
42,"paralyser les chaînes d' approvisionnement ? « La situation était complètement différente » , juge Frédéric Plan . « La",grève,d' octobre a démarré alors que les stocks étaient exceptionnellement bas en raison des ristournes cumulées de TotalEnergies et du
43,"retraites . « La motivation n' est pas la même , pas sûr que toutes les raffineries se mettent en",grève,"et pas sûr qu' elles le soient aussi longtemps qu' en octobre » , prédit Olivier Gantois ."
44,"hommes seniors . » Ce 8 mars , les organisations syndicales vont se joindre à l’ appel à la «",grève,"féministe » . Une « convergence des luttes » inédite . « Ce sera un grand 8 mars ! ,"
45,"de plus “ pour rien ” » Si Julie , cadre dans l’ esthétique , s’ énerve les jours de",grève,", ce n’ est pas contre le gouvernement , mais contre « ces gens qui nous empêchent de travailler »"
46,"à l' exécutif , contre seulement 35 % aux syndicats . Il n' empêche , malgré les appels à la",grève,"reconductible dans des secteurs clés , le spectre d' une paralysie reste encore loin . Toutes les raffineries ont bien"
47,"se produisent . Casseurs ou policiers provocateurs ? Une polémique est lancée , notamment instruite par Jean-Luc Mélenchon . La",grève,"s' étend également aux éboueurs - notamment à Marseille - aux cantines scolaires et aux crèches , et bien entendu"
48,"national ( 73 % ) . Le spectre d' un blocage du pays reste toutefois encore loin , malgré une",grève,reconductible des éboueurs dans les grandes villes .
49,de ces « villes moyennes » sont parfois supérieurs à ceux des métropoles . Lors de la dernière journée de,grève,", mercredi 15 mars , on dénombrait davantage de personnes dans la rue à Saint-Nazaire ( Loire - Atlantique )"
50,", en proportion de sa population : 3,5 % des habitants battent en moyenne le pavé à chaque journée de",grève,". Côtes - d' Armor ( 2,5 % ) , Ille-et-Vilaine ( 2 % ) et Morbihan ( 2 %"
51,"LE JOUR , les poubelles s' entassent ; la nuit , elles brûlent . Alors que la",grève,"des éboueurs parisiens contre la réforme des retraites en est à sa troisième semaine , et que le mouvement a"
52,l' entreprise Pizzorno . La journée de mardi a été marquée par une légère accalmie sur le front de la,grève,; les éboueurs étaient un peu plus nombreux à avoir repris le travail . « Ils se préparent pour la
53,. « Ils se préparent pour la journée de mobilisation du 23 mars . Après deux semaines et demie de,grève,"et de perte de salaire , certains se ménagent aussi un peu » , indique la responsable CGT . Le"
54,de reprendre du service car réquisitionnés par la Préfecture de police . Au bout d' une dizaine de jours de,grève,", le préfet de police de Paris Laurent Nuñez a en effet adressé une lettre de mise en demeure à"
55,"de Pauline Toubhans , copropriétaire dans une « grosse résidence de 130 lots » . « Après quinze jours de",grève,", il y avait un tas d' ordures sur deux mètres et demi de haut devant l' entrée , raconte"
56,la maire de Paris ait privilégié les grévistes plutôt que les habitants » . « Je respecte le droit de,grève,", mais on a le droit à un service minimum quand même ! Il y a un vrai risque sanitaire"
57,"Paris devient un enfer » . « « Les gilets jaunes » , les transports qui fonctionnent mal , la",grève,"des poubelles ... Ça fait beaucoup , je comprends que des milliers de personnes quittent la ville chaque année !"
