Document ID,Citation,Source
3,"ssi un gâchis de compétences. De nombreux économistes en conviennent. 《 La réforme des retraites est essentielle 》 , affirmait Christian Saint-Étienne sur Sud Radio le 2 janvier, tandi",Christian Saint-Étienne
3,"s qu'Élie Cohen le même jour sur BFMTV, jugeait la réforme 《 absolument indispensable 》. Et d'expliquer que « le régime est structurellement en déficit. L'Ét",Élie Cohen
3,"revenir à l'objectif d'un déficit inférieur à 3 % du PIB d'ici 2027. 《 Cette réforme est un signal fort donné à nos partenaires européens 》 , confirme Raymond Soubie, ancien conseiller social de Nicolas Sarkoz",Raymond Soubie
3,"y et président du cabinet Alixio. Le 《 triangle infernal 》 Obligation économique, la réforme est aussi un impératif démographiqu",Alixio
3,"er l'âge, augmenter les cotisations ou baisser les pensions. C'est le 《 triangle infernal 》 des retraites. Or, il apparaît difficile de relever le taux de cotisa",Le Monde
3,"ans en Allemagne, et le gouvernement socialiste à 65 ans en Espagne. 《 Si nous étions à la moyenne des pays européenne, nous économiserions 50 milliards d'euros par an sur les dépenses de retraite , affirme Élie Cohen. Au final, les 2 points de PIB que nous dépensons en plus sur les retraites, expliquent pourquoi la dépense publique est plus importante en France que dans les autres pays européens . 》 Certaines déclarations, y compris du président de la République, ont",Élie Cohen
3,"nt bien au financement des retraites. C'est une obligation juridique. 《 Pas un euro de cotisation vieillesse ne servira à autre chose qu'à financer les retraites , rassure Olivier Dussopt, ministre du Travail. En revanche, le fait de travailler plus longtemps générera aussi des cotisations familiales, des cotisations maladie, de l'impôt sur le revenu, de la CVAE pour les entreprises, de la TVA . 》 Autant de recettes nouvelles qui donneront au gouvernement des marges",Olivier Dussopt
4,"les réformes similaires ont provoqué d'importants mouvements sociaux. 《 Je suis bien consciente que ce n'est neutre pour personne, mais pour l'avenir de notre système de retraite par répartition, nous proposons que celles et ceux qui le peuvent travaillent progressivement plus longtemps 》 , a déclaré la première ministre lors d'une conférence de presse sole",Première ministre
4,"et Stanislas Guerini, le ministre de la Fonction publique, alors que 《 la plupart des régimes spéciaux existants 》 vont être « fermés » (lire ci-dessous). Rendez-vous avec l'opinion La",La Croix
4,"est prévue le 19 janvier. Pour autant, le projet du gouvernement est 《 meilleur qu'il ne l'était il y a six mois 》, a salué Élisabeth Borne. Alors que les organisations syndicales et l",Élisabeth Borne
4,"l'âge légal de départ à la retraite, la chef du gouvernement a évoqué 《 un projet de justice porteur de progrès social 》 à travers des mesures pour les carrières longues et la pénibilité. Br",Br
4,"uno Le Maire a affirmé que la réforme 《 apportera 17,7 milliards d'euros 》 aux caisses de retraite en 2030. « Chaque euro compte pour un État qu",Bruno Le Maire
4,"er aux Français de travailler davantage avant de prendre sa retraite, 《 des majorités, de droite comme de gauche, l'ont fait avant nous 》 , a plaidé Élisabeth Borne, référence aux réformes de la socialiste M",Élisabeth Borne
4,"ellement - pour les carrières complètes et les actuels bénéficiaires. 《 Nous sommes prêts à faire encore évoluer notre projet 》, a dit la première ministre qui a fait le voeu d'un « débat parlement",La Presse
4,"coups d'éclat dans l'Hémicycle. Jean-Luc Mélenchon a aussitôt dénoncé 《 une grave régression sociale 》, lui qui brandit encore le symbole de la retraite à 60 ans. Comme le",Jean-Luc Mélenchon
4,"socialiste Olivier Faure. Une mesure 《 démagogique 》, a répondu Élisabeth Borne qui y voit le risque « d'aggraver davantag",Élisabeth Borne
4,"e » les déficits. Marine Le Pen n'est pas en reste, promettant de 《 faire barrage à cette réforme injuste 》 . « La confrontation d'idées peut se faire sans désinformation, sans",Marine Le Pen
4,"alors que la finalité de sa réforme n'a pas toujours été très claire. 《 Chaque euro servira à financer nos retraites, rien d'autre 》 , a insisté Élisabeth Borne, quand le candidat Macron évoquait d'abor",Élisabeth Borne
4,"face aux cortèges et blocages divers et variés qui attendent le pays. 《 Députés et ministres, à nous d'envahir tous les espaces 》, estime Sylvain Maillard, le vice-président du groupe Renaissance à l",Sylvain Maillard
4,"ssemblée nationale. La chef des députés macronistes Aurore Bergé veut 《 une offensive 》. Le ministre du Budget, Gabriel Attal, devrait lui aussi se déployer",Assemblée nationale
4,"dans une entreprise des Yvelines pour échanger avec les salariés. Ce 《 moment de vérité 》 , pour reprendre les termes d'Élisabeth Borne, sera décisif pour la p",Élisabeth Borne
5,"rnement, on espère toutefois que le pire n'est pas forcément à venir. 《Le président a déjà pris sa perte avec la réforme des retraites pendant la campagne présidentielle , assure un ministre. C'est l'un des seuls sujets qui ait été clairement identifié par les Français et malgré leurs doutes sur le report de l'âge légal de départ, il a été réélu . 》 Pas question pour autant de s'exposer en première ligne. Dans la chor",Le Monde
5,"me. Le relèvement à 64 ans de l'âge légal de départ à la retraite est 《 indispensable et vital 》 pour « préserver » le système, a réaffirmé Emmanuel Macron lors du Co",Emmanuel Macron
5,"nt, qui a relayé ses propos, le président a appelé ses ministres à la 《 mobilisation 》 pour « expliquer aux Français très concrètement » ce « qui va changer",Élysée
5,"pour eux ». Le ministre a lui-même suivi la consigne : 《 Ce projet de réforme des retraites n'est pas un projet éclair ou brutal. Il n'est pas antisocial : la retraite minimale est augmentée de 100 euros brut pour en moyenne 2 millions de retraités. 》 Clément Beaune, le ministre des Transports, a rencontré dès mardi soi",Clément Beaune
5,"la SNCF, Jean-Pierre Farandou, et celui de la RATP, Jean Castex, pour 《 expliquer et accompagner la réforme 》 dans des secteurs où la mobilisation pourrait être importante. De son",Jean Castex
5,"côté, le parti présidentiel Renaissance a édité un tract intitulé 《 Agir aujourd'hui pour sauver nos retraites demain 》. Réforme « améliorable » Malgré cela, des voix se sont fait entendre",La source de la citation est « Le Monde ».
5,in même de la majorité. François Bayrou a jugé sur LCI que la réforme 《 est améliorable 》. « On va entrer dans une discussion parlementaire qui va être ardue »,François Bayrou
5,"Dem, qui plaide pour une augmentation des cotisations de l'employeur. 《 Je sais très bien que le gouvernement n'est pas de cet avis, mais mon idée n'est pas de le gêner ni de le mettre en difficulté 》, a-t-il assuré. Le centriste estime que « beaucoup de Français ont le",This citation is from a person.
5,"int, Édouard Philippe a sobrement salué les arbitrages de l'exécutif. 《 Si la mesure que le gouvernement propose a le même effet sur l'équilibre qu'un report à 65 ans, très bien 》, a-t-il dit. Horizons pourrait profiter de la discussion parlementair",Édouard Philippe
7,"e plus marquant remonte à 1995. Élu au mois de mai sur le thème de la 《 fracture sociale 》 , Jacques Chirac active sans attendre son gouvernement. Le « plan Jup",Jacques Chirac
7,"compte jusqu'à 120 000 manifestants au plus fort de la contestation. 《 On n'avait pas vu cela depuis Mai 68 》 , commentent les journalistes de l'époque. Le point culminant est fix",Le Monde
7,"é au 12 décembre, avec deux millions de personnes mobilisées. 《 Il faut recommencer à circuler, à travailler, car il en va de l'intérêt national 》 , déclare alors Alain Juppé. Sous la pression de Jacques Chirac, le p",Alain Juppé
7,"leur de la colère. Le pan Sécurité sociale est toutefois conservé. Un 《 sommet social 》 avec les syndicats est aussi organisé à Matignon, et Alain Juppé s'y",Alain Juppé
7,"réjouit d'avoir fixé 《 une nouvelle ambition (...) pour l'emploi en général 》. Il emporte avec lui un début de soutien de la CFDT, en rupture avec",Emmanuel Macron
7,"télévisé de TF1 le 28 mai, Jean-Pierre Raffarin est interrogé sur l' 《 impasse 》 dans laquelle il semble se trouver. Lui privilégie une approche polit",TF1
7,"ique, en insistant à de nombreuses reprises sur 《 la démocratie parlementaire 》 et les discussions qui sont sur le point de débuter. « Le Parlement v",European Parliament
7,"ert, et le Parlement discute » , martèle-t-il, en prônant une réforme 《 sage 》 , « négociée » et surtout « progressive ». En témoigne le temps de co",Le Monde
7,"our être relevé à 40 ans en 2008, mais dont la suite n'est pas fixée. 《 Après, nous verrons. Nous avons prévu qu'en 2012 il faudrait sans doute 41 ans, mais nous verrons 》 , temporise le premier ministre. Dix-neuf jours de débats s'ouvrent d",Institut.
7,"uard Philippe active l'article 49.3 sur une réforme portant le régime 《 universel 》. Le premier ministre se heurte par la suite au premier confinement, e",Le Monde
8,a réforme serait une exigence de Bruxelles. Qu'en est-il en réalité ? 《C'est la faute à l'Europe.》 Depuis le début de la contestation sociale contre la réforme des retr,"""Le Monde"""
8,"de l'Union européenne est parfois pointé du doigt par ses opposants. 《Quelle est l'urgence de mettre le pays en division et en tension ? Si ce n'est obéir aux exigences de la Commission européenne》, s'est ainsi interrogé le député Insoumis Éric Coquerel en début d'an",Éric Coquerel
8,"a affirmé sur CNews, en janvier dernier, que cette réforme obéissait 《à une injonction de Bruxelles》. «S'il (Emmanuel Macron) fait cette réforme aujourd'hui, c'est pour u",CNews
8,"ce lundi 3 avril, Thierry Breton a de nouveau réfuté ces allégations. 《L'Europe ne demande rien. (...) Si c'était le cas, on n'aurait pas une disparité des départs d'âge à la retraite en Europe. C'est à la main des États de décider ce qu'ils veulent faire, et ils le font》, a insisté le commissaire européen au Marché intérieur, tout en point",Thierry Breton
8,"ant en revanche le rôle des 《marchés financiers》. Qu'en est-il vraiment, la réforme est-elle ou non exigée par l'UE ?",European Commission
8,"ntation en France de la Commission européenne s'occupait elle-même de 《fact-checker》 ces allégations. «Non, la Commission européenne n'impose pas à la Fra",Commission européenne
8,"docteur en droit européen et enseignant à l'Université Paris-Saclay. 《Le traité sur le fonctionnement de l'Union prévoit explicitement qu'en matière économique, l'UE ne peut que coordonner les États sans imposer de mesures spécifiques》. Autrement dit, les textes européens ne permettent pas à l'UE d'impos",Université Paris-Saclay
8,"l'adresse de la France, en mai dernier. Dans un document portant sur 《le programme national de réforme de la France pour 2022》, le Conseil de l'UE recommande que la France s'attache entre autres,",Conseil de l'UE
8,"en 2022 et 2023, à 《réformer le système de retraite pour uniformiser progressivement les règles des différents régimes de retraite afin de renforcer l'équité du système tout soutenant sa durabilité》. L'instance européenne, qui représente les gouvernements des États me",European Commission
8,"mbres, estime en effet que 《la simplification du système de retraite, par l'uniformisation des différents régimes, contribuerait à améliorer la transparence et l'équité de celui-ci, tout en ayant des effets positifs sur la mobilité de la main-d'œuvre et l'efficience de la distribution du travail, et pourrait renforcer la viabilité des finances publiques》. «Mais d'où viennent ces recommandations ? De la France elle-même», p",France
8,"onnement de l'UE. Ces recommandations européennes sont le résultat du 《semestre européen》, durant lequel les États membres transmettent à la Commission leur pr",European Commission
8,"ogramme de réformes pour l'année à venir. 《La Commission européenne va étudier ces programmes et échanger avec les pays, dont la France, pour leur dire si ce programme lui convient, si elle pense qu'il faut modifier tel ou tel point. Mais la Commission ne peut rien imposer à la France》, explique Vincent Couronne. «Il y a une logique de pression, qui pass",Vincent Couronne
8,"cialiste du droit européen, qui souligne qu'une réforme des retraites 《fait partie des mesures préconisées par l'UE depuis longtemps》. Certaines voix soulignent par ailleurs que la France serait indirect",Le Monde
8,se (LFI) avait affirmé sur LCI que l'objectif du gouvernement n'était 《pas de sauver le système des retraites mais de répondre aux 3% de Bruxelles》. Une référence au critère de déficit public fixé à 3% du PIB (produit,LCI
8,"intérieur brut) par l'UE. Si 《effectivement la France doit faire en sorte de cheminer vers les 3% de déficit public pour respecter le Pacte de stabilité et de croissance européen, la France n'est pas obligée de faire précisément cette réforme-là pour rentrer dans les clous》, répond Vincent Couronne. «Une autonomie est laissée aux États pour r",Vincent Couronne
8,"ère arbitraire, Vincent Couronne souligne que, même sans cette borne, 《la France serait obligée de réduire son déficit pour garder la confiance des prêteurs》. La pression des marchés financiers est un argument avancé par Emmanu",Vincent Couronne
8,"e l'État a justifié cette décision, en conseil des ministres, par des 《risques financiers, économiques (...) trop grands》, a rapporté Le Monde. Comprendre : renoncer à cette réforme mettrait",Le Monde
8,"France pour financer son plan de relance post-Covid de 100 milliards 《n'est pas conditionné à la réforme des retraites》, insiste la représentation française de la Commission européenne, con",Commission européenne
8,"ropos tenus notamment par François-Xavier Bellamy et Laure Lavalette. 《Bruxelles n'a pas de pouvoir sur ce sujet de la réforme des retraites car le plan de relance européen est axé sur d'autres sujets, en particulier la transition énergétique et le numérique》, note Vincent Couronne. Ainsi, il n'est fait aucunement mention d'une",Vincent Couronne
8,"nsée et annoncée par l'exécutif français, qui pointe par ailleurs les 《risques financiers》 d'un renoncement à cette réforme. Chaque État est libre de définir la",Le Monde
9,"fronter, trois jours plus tard, la deuxième journée de manifestation. 《 Le président est secret, confie un ministre de poids. Je le trouve de plus en plus gaulliste ou mitterrandien. Il prend du recul. Il n'est pas très présent. D'ailleurs, dans les manifestations, ce n'est pas tellement son nom qui est attaqué mais celui d'Élisabeth Borne. 》 Revoilà la première ministre dans le rôle de bouclier du président. P",Le Monde
9,"es interventions publiques. Trop d'incertitudes Ici pour apporter son 《 soutien total 》 au ministre du Travail, Olivier Dussopt, en première ligne sur la réf",Le Monde
9,justice de favoritisme. Là pour faire savoir que le Parlement pouvait 《 aménager》 le texte mais qu'il n'était pas question de reculer. Ailleurs pour en,Parlement
9,appeler à 《 l'esprit de responsabilité》 des syndicats pour qu'ils ne bloquent pas « la vie du reste du pays».,Emmanuel Macron
9,"per au fil des cortèges. Et puis ce n'est pas son moment. Pas encore. 《 C'est le président qui a mis le débat sur la table. Ce texte, il l'a porté, préparé et travaillé avec la première ministre, rappelle-t-on dans son entourage. La suite ne dépend plus de lui désormais puisque c'est devant le Parlement que le gouvernement défend la réforme . 》 Alors, pendant ce temps, Emmanuel Macron vaque à ses occupations de p","""Le Monde"""
9,"rester en retrait sur le projet de loi immigration et sur la justice. 《Le travail sur le régalien a été mené au long cours depuis le premier quinquennat, et cela commence à porter ses fruits》, explique-t-on autour de lui. À condition de franchir ce « Cap Horn»",Le Monde
9,des retraites et de survivre à ces 《 cinquante jours de gros temps 》 que prophétisait un ministre début janvier avant d'ajouter : «Ensuite,Le Monde
9,"it, avec un sourire en coin, à ses invités pour le Nouvel An lunaire, 《 l'année du lapin représente l'espoir et la souplesse dans l'action. (...) L'énergie et la souplesse ne seront pas de trop pour accomplir nos ambitions. 》",L'Express
10,la branche pétrole ont appelé à plusieurs jours de grèves en menaçant 《 si nécessaire 》 de mettre les raffineries à l'arrêt à partir du 6 février. Revoilà le,Le Monde
10,"ge dans les raffineries agite la menace d'une mise à l'arrêt du pays. 《 Il y a un droit de grève, il y a un droit à manifester 》 , mais « c'est important aussi de ne pas pénaliser les Français » , a",Emmanuel Macron
10,"Français résignés Méthode Coué ou optimisme circonstancié, l'exécutif 《 ne se projette pas dans l'idée d'une mobilisation massive 》, comme l'a répété Olivier Véran mercredi à l'issue du Conseil des min",Le Monde
10,"nnes, selon l'Intérieur) ou 2010 (plus de 1,2 million) semble écarté. 《Une manifestation ou une mobilisation repose sur le fait de se demander si le gouvernement ira jusqu'au bout 》, explique un ministre. Pour l'heure, l'exécutif fait assaut de volont",Le Monde
10,"de la réforme, assurait encore en Conseil des ministres qu'elle était 《 indispensable et vitale 》. Dans le droit fil de ses propos du 12 septembre dernier devant l'Ass",Conseil des ministres
10,"ociation de la presse présidentielle : 《 Est-ce qu'on peut attendre pour faire cette réforme ? Non. Et est-ce qu'elle doit rentrer en vigueur dès l'été 2023 ? Oui. 》 Détermination politique contre détermination syndicale, la figure est",Association de la presse présidentielle
10,"% d'entre eux s'opposent au report de l'âge légal de départ à 64 ans. 《 Mais cette opposition s'atténue 》, souligne l'institut. Notamment grâce aux différentes mesures sociale",Institut
10,"s et de la pénibilité... Elles sont approuvées par 83 % des Français. 《 Ce sont ces mesures qui expliquent le plus cette érosion 》 de l'opposition à la réforme, souligne Odoxa. Pour l'heure, les Franç",Odoxa
10,"19 janvier, mais à un niveau moins élevé qu'au début de la crise des 《 gilets jaunes 》 (74 %). Un « M. ZFE » Pour autant, le gouvernement s'interroge quant",Le Monde
10,"celle venue d'un sujet connexe vienne enflammer tout le débat public. 《 La vraie préoccupation des Français, ce sont les prix du quotidien et le coût de la vie 》 , assure le ministre de l'Économie, Bruno Le Maire. Si une étincelle",Bruno Le Maire
10,"es retraites, est jugée hasardeuse par des spécialistes de l'opinion. 《C'est un bon moyen de mobiliser la jeunesse au moment le moins opportun 》, redoute l'un d'eux, qui rappelle que LFI est hostile à cette proposi",Le Monde
10,histoire de voitures qui avait été l'une des sources de la crise des 《 gilets jaunes 》 : la limitation de la vitesse à 80 km/h sur les routes secondaires. L,Le Monde
10,ée d'autant plus près que la ville a connu une forte mobilisation des 《 gilets jaunes 》 il y a quatre ans. Pour tenter d'endiguer une éventuelle contestation,Le Monde
10,"sur le sujet, un 《 M. ZFE 》 doit être nommé prochainement. Malgré toutes ces précautions, l'inqui",M. ZFE
10,"e ne l'avait prévu. Le patron de la CFDT, Laurent Berger, a prévenu : 《 S'il n'y a pas une mobilisation dans la rue énorme, de toute façon le ressentiment s'exprimera différemment. 》",Laurent Berger
11,du gouvernement. Les ténors LR se félicitent d'avoir su imposer leurs 《 exigences 》à Élisabeth Borne mais certains élus continuent d'exprimer leurs rétic,Le Figaro
11,"ences. Aurélien Pradié pose trois conditions et pressent une 《 entourloupe 》du gouvernement, comme il l'a confié au journal Le Point,samedi. Dans",Le Point
11,"les Vosges, Stéphane Viry considère que cette réforme n'est pas en 《 adéquation 》 avec les Français. À Belfort comme en Alsace, d'autres députés diront",Stéphane Viry
11,"probablement non. 《 Ce sont tous des amis de Bertrand 》 , persifle un élu du groupe lassé par les «jeux d'ego de ceux qui fon",Le Monde
11,"ritoire de Belfort, ne votera pas la réforme. En se réjouissant d'une 《 liberté de vote 》au sein du groupe, il n'hésite pas à combattre un texte qu'il juge « p",Assemblée nationale
11,"arfaitement injuste »au point de le qualifier d' 《 arnaque du siècle 》.Sa position, il veut la défendre dans le prolongement de ce qu'il dis",Le Monde
11,"mpagne des législatives. Aujourd'hui, il estime que la droite devrait 《 parler à ceux qui travaillent 》. « Personne ne s'adresse à eux, hormis Marine Le Pen, qui le fait san",Marine Le Pen
11,"s proposer aucune solution » ,soutient-il, en regrettant que 《 rien 》ne soit fait pour « faire bosser ceux qui ne cotisent jamais parce qu'",Le Monde
11,"lle des retraites ne peut pas se fonder sur des enjeux conjoncturels. 《 Casus belli 》 Si Les Républicains pro-réforme, annoncés majoritaires, jugent indisp",Casus belli
11,"ensable d'afficher une position de la droite 《 cohérente 》avec ses propositions d'hier, le parlementaire de Belfort estime au co",Le Monde
11,"les deux derniers projets présidentiels de la droite ont été rejetés 《 deux fois 》par les Français. « Il est peut-être temps de changer de projet » ,pla",Le Monde
11,"Dans le Haut-Rhin, Raphaël Schellenberger est également très réservé. 《 Le groupe me semble très partagé. Passez un coup de fil à la vingtaine d'élus mal à l'aise avec ce texte, y compris autour de Laurent Wauquiez. Ce gouvernement n'a toujours pas compris qu'il ne suffit pas de traiter avec Éric Ciotti, Bruno Retailleau et Olivier Marleix. Quand on a passé cinq ans à bouffer du LR, il y a un moment donné où l'on récolte la monnaie de sa pièce 》 ,menace le député alsacien. Il estime que les « quarante voix »de la",La citation provient de « Le Monde ».
11,ont pas acquises. Le parlementaire reproche au gouvernement de parler 《 beaucoup 》de concertation en ayant tout construit « entre Noël et l'Épiphanie ».,Le Monde
11,"《 Avec ou sans LR, ce n'est pas un moment serein pour le faire 》 ,critique-t-il, en fustigeant une absence de « hiérarchisation des pr",La source de la citation est : Le Figaro
11,"passer par un 49.3 pour faire adopter sa réforme, ce serait alors un 《 casus belli 》.Raphaël Schellenberger réclamerait illico le dépôt d'une motion de ce",Raphaël Schellenberger
11,"edi. Il veut réunir sestroupesautour d'une lecture de l'avant-projet. 《 Attention aux mauvais combats ! 》 ,met en garde le député d'Eure-et-Loir. Il invite chacun à mesurer la",« Attention aux mauvais combats ! »
11,"e des expertises de la droite et des études d'impact du gouvernement. 《 Au-delà des postures et sans accorder de blanc-seing à n'importe quel prix, nous allons devoir sérier les combats, sachant que cette réforme s'impose si l'on veut sauver le système par répartition 》 , souligne le chef de file des députés LR.",Chef de file des députés LR
12,"ème motion de censure, cette fois-ci potentiellement plus dangereuse. 《Si le texte n’est pas voté en première lecture, nous pourrons immédiatement pointer du doigt LFI et leur stratégie d’obstruction systématique》, décrypte un poids lourd du camp présidentiel, qui veut penser que «g",L'Obs
12,ce à cette disposition constitutionnelle» la réforme pourrait avancer 《sans trop d’encombres》 au Parlement. Trouver un accord au sein d’une commission mixte parita,Le Monde
12,"r le patron des sénateurs LR, à la tête du plus gros groupe au Sénat. 《Je ne vois pas comment on peut ne pas voter une réforme attendue depuis des années》, a répété à plusieurs reprises Bruno Retailleau, ces derniers jours.",Bruno Retailleau
12,"cile à obtenir, si l’on en croit les positions des uns et des autres. 《Sénateurs de droite et députés de la majorité seront en supériorité numérique en CMP, ce qui permettra facilement de trouver un point d’atterrissage au vu du deal entre Les Républicains et Élisabeth Borne》, analyse un député Renaissance. Valider le texte Ensuite, si tout se","""Le Monde"""
12,"ertain nombre de députés LR. Mais pour tous, la méfiance est de mise. 《Un plan qui se déroule parfaitement, pour une réforme de cette ampleur, ça n’arrive jamais. Il y aura forcément des péripéties》, anticipe cette parlementaire du camp Macron.",La source de la citation est un « député LR ».
13,"améliorée et l'extinction des régimes spéciaux se fera, du fait de la 《 clause du grand-père 》 , à un rythme que beaucoup pourraient trouver excessivement long. En",Le Monde
13,sserait si l'on passait à la retraite à 60 ans. La dénonciation de la 《 violence sociale inouïe 》 et du démantèlement de notre système de protection qu'on entend monte,Le Monde
13,"ur évoquer leur système de retraite, les mots de Faust à Marguerite : 《 Reste encore un instant, tu es si belle. 》Le déni est à la fois démographique et budgétaire, économique et géopo",Faust
14,"ce le sujet. Certes avec prudence. Comme le confie un de ses proches, 《 il veut goûter l'eau avant de plonger 》. En clair : pas question de se lancer dans une réforme institutionnel",Le Monde
14,"à deux du nombre des échelons territoriaux - ce qui signifierait deux 《 sacrifiés 》 entre commune, intercommunalité, département et région -, la transfor",Le Monde
14,les suggestions de Séjourné. Le voeu d'Emmanuel Macron est d'abord de 《 redonner de la force à la souveraineté populaire 》. Ce qui passerait par une clarification du cadre institutionnel dans,Séjourné
15,"Si les soignants ont l'habitude de manifester avec un brassard 《 en grève 》 tout en assurant leur poste, la contestation promet d'être forte à l'",Le Monde
15,quelque 250 000 fonctionnaires hospitaliers qui occupent un emploi en 《 catégorie active 》 - car jugé difficile ou fatigant - continueront à bénéficier de dépar,Le Monde
15,"rme de 2010, où elles avaient été allongées de deux ans. Pour autant, 《 42 % des agents partent avant 60 ans. Nous avons un taux très important de congés longue maladie : 25 % des agents de service hospitalier et 20 % des aides-soignantes sont en arrêt 4 ans avant leur départ en retraite 》 , a souligné Arnaud Robinet, maire de Reims et président de la Fédéra",Arnaud Robinet
15,"avec l'Association des journalistes de l'information sociale (Ajis). 《 La réforme des retraites doit permettre un accès à la retraite tenant compte de la pénibilité réelle, afin de limiter les risques d'incapacité en fin de carrière qui empêchent d'obtenir une pension complète 》 , plaide-t-il. Alors qu'aujourd'hui déjà les hôpitaux ne parviennent",Association des journalistes de l'information sociale (Ajis)
15,"1 milliard d'euros, est prévu dans le privé, Arnaud Robinet note que 《seulement 100 millions d'euros sont prévus pour toutes les fonctions publiques》. Autre sujet, celui de la pension des professeurs des universités-pra",Arnaud Robinet
15,"cultés de financement des établissements qui, malgré les milliards du 《 Ségur 》 , font face à l'envolée des prix de 30 % à 40 %, et ont vu s'arrêter",Sud Ouest
15,"le 31 décembre la 《 garantie de financement 》 , mécanisme de soutien mis en place durant le Covid. Dans ce contexte",La Croix
16,", les chiffres du bilan démographique sont plus sensibles que jamais. 《Les bébés de 2023 sont les cotisants de 2043》, alerte l’Unaf (Union nationale des associations familiales), qui inv",l'Unaf (Union nationale des associations familiales)
