Document ID,Citation,Context,Source
2,"«En revanche, ils vont plus vite sur l’accélération des 43 annuités et les 64 ans même s’ils retiennent le rythme que nous avions proposé de 3 mois par an. Cette accélération sera un point de discussion, comme le sera le sujet des petites retraites.»","le projet du Sénat voté depuis quatre ans et cela est plutôt positif», se satisfait Gérard Larcher, président du Sénat. «En revanche, ils vont plus vite sur l’accélération des 43 annuités et les 64 ans même s’ils retiennent le rythme que nous avions proposé de 3 mois par an. Cette accélération sera un point de discussion, comme le sera le sujet des petites retraites.» Une ligne rouge à LR. «Deux garanties pour lesquelles nous nous sommes battus ne sont pas à ce stade clairement",Gérard Larcher
2,«Deux garanties pour lesquelles nous nous sommes battus ne sont pas à ce stade clairement assurées»,"Cette accélération sera un point de discussion, comme le sera le sujet des petites retraites.» Une ligne rouge à LR. «Deux garanties pour lesquelles nous nous sommes battus ne sont pas à ce stade clairement assurées», explique Aurélien Pradié, député LR du Lot. «La première, c’est l’assurance de relever à 85 % du smic les retraites",Aurélien Pradié
2,"«La première, c’est l’assurance de relever à 85 % du smic les retraites actuelles et pas seulement les nouvelles pour celles et ceux qui ont travaillé toute leur vie.»","lesquelles nous nous sommes battus ne sont pas à ce stade clairement assurées», explique Aurélien Pradié, député LR du Lot. «La première, c’est l’assurance de relever à 85 % du smic les retraites actuelles et pas seulement les nouvelles pour celles et ceux qui ont travaillé toute leur vie.» Élisabeth Borne annonce une «augmentation»de ces pensions. «Le niveau de 85 % du smic est une ligne rouge. En deçà,",Aurélien Pradié
2,«augmentation»,"actuelles et pas seulement les nouvelles pour celles et ceux qui ont travaillé toute leur vie.» Élisabeth Borne annonce une «augmentation»de ces pensions. «Le niveau de 85 % du smic est une ligne rouge. En deçà, l’effort ne sera pas à",Elisabeth Borne
2,"«Le niveau de 85 % du smic est une ligne rouge. En deçà, l’effort ne sera pas à la hauteur»","seulement les nouvelles pour celles et ceux qui ont travaillé toute leur vie.» Élisabeth Borne annonce une «augmentation»de ces pensions. «Le niveau de 85 % du smic est une ligne rouge. En deçà, l’effort ne sera pas à la hauteur», poursuit-il en demandant une clarification du gouvernement. «La seconde, c’est d’assurer que ceux qui ont commencé à travailler avant 21",Élisabeth Borne
2,"«La seconde, c’est d’assurer que ceux qui ont commencé à travailler avant 21 ans puissent partir avec 42 puis demain 43 annuités de cotisation»","est une ligne rouge. En deçà, l’effort ne sera pas à la hauteur», poursuit-il en demandant une clarification du gouvernement. «La seconde, c’est d’assurer que ceux qui ont commencé à travailler avant 21 ans puissent partir avec 42 puis demain 43 annuités de cotisation», détaille l’ex-candidat à la présidence du parti. «Pour ces travailleurs qui ont débuté tôt, nous devons leur assurer de ne",Éric Woerth
2,"«Pour ces travailleurs qui ont débuté tôt, nous devons leur assurer de ne pas avoir besoin d’aller jusqu’à l’âge légal. Pour eux, la durée de cotisation acquise doit primer sur l’âge légal.»","avant 21 ans puissent partir avec 42 puis demain 43 annuités de cotisation», détaille l’ex-candidat à la présidence du parti. «Pour ces travailleurs qui ont débuté tôt, nous devons leur assurer de ne pas avoir besoin d’aller jusqu’à l’âge légal. Pour eux, la durée de cotisation acquise doit primer sur l’âge légal.» Dès lors, pour LR, «à cette heure, le compte n’y est pas» encore, fait valoir Éric Ciotti. «Je serai très",Éric Ciotti
2,"«à cette heure, le compte n’y est pas»","d’aller jusqu’à l’âge légal. Pour eux, la durée de cotisation acquise doit primer sur l’âge légal.» Dès lors, pour LR, «à cette heure, le compte n’y est pas» encore, fait valoir Éric Ciotti. «Je serai très attentif à la question de l’emploi des seniors et des carrières hachées",Éric Ciotti
2,«Je serai très attentif à la question de l’emploi des seniors et des carrières hachées pour les femmes. Tout cela laisse de la place au débat parlementaire»,"sur l’âge légal.» Dès lors, pour LR, «à cette heure, le compte n’y est pas» encore, fait valoir Éric Ciotti. «Je serai très attentif à la question de l’emploi des seniors et des carrières hachées pour les femmes. Tout cela laisse de la place au débat parlementaire», acquiesce Gérard Larcher. «Ces sujets sont très techniques et le diable se niche souvent dans les détails, conclut Olivier Marleix.",Gérard Larcher
2,"«Ces sujets sont très techniques et le diable se niche souvent dans les détails, conclut Olivier Marleix. Nous vérifierons chaque point de manière précise mais nous actons le fait que le gouvernement fait l’effort de venir sur nos propositions.»","seniors et des carrières hachées pour les femmes. Tout cela laisse de la place au débat parlementaire», acquiesce Gérard Larcher. «Ces sujets sont très techniques et le diable se niche souvent dans les détails, conclut Olivier Marleix. Nous vérifierons chaque point de manière précise mais nous actons le fait que le gouvernement fait l’effort de venir sur nos propositions.» Refus de la gauche «C’est une grave récession sociale», a dénoncé Jean-Luc Mélenchon. Après ces annonces, la coalition de la",Olivier Marleix
2,«C’est une grave récession sociale»,"précise mais nous actons le fait que le gouvernement fait l’effort de venir sur nos propositions.» Refus de la gauche «C’est une grave récession sociale», a dénoncé Jean-Luc Mélenchon. Après ces annonces, la coalition de la Nupes s’est dite prête à mener «le combat» contre",Jean-Luc Mélenchon
2,«le combat»,"grave récession sociale», a dénoncé Jean-Luc Mélenchon. Après ces annonces, la coalition de la Nupes s’est dite prête à mener «le combat» contre la réforme. Un tout premier meeting unitaire avait d’ailleurs lieu mardi soir à Paris. «Madame Borne n’a honte de",Jean-Luc Mélenchon
2,«Madame Borne n’a honte de rien»,"prête à mener «le combat» contre la réforme. Un tout premier meeting unitaire avait d’ailleurs lieu mardi soir à Paris. «Madame Borne n’a honte de rien», a répliqué sur Twitter Mathilde Panot, la présidente du groupe LFI. «Un projet “de justice, d’équilibre et de progrès”? Euh…",Mathilde Panot
2,"«Un projet “de justice, d’équilibre et de progrès”? Euh… non. Un projet pour faire des économies, archaïque, injuste, brutal, cruel? Oui»","soir à Paris. «Madame Borne n’a honte de rien», a répliqué sur Twitter Mathilde Panot, la présidente du groupe LFI. «Un projet “de justice, d’équilibre et de progrès”? Euh… non. Un projet pour faire des économies, archaïque, injuste, brutal, cruel? Oui», a rectifié l’Insoumise. «La guerre sociale est déclarée», a également jugé le député LFI Louis Boyard. Sa collègue du même",Mathilde Panot
2,«La guerre sociale est déclarée»,"d’équilibre et de progrès”? Euh… non. Un projet pour faire des économies, archaïque, injuste, brutal, cruel? Oui», a rectifié l’Insoumise. «La guerre sociale est déclarée», a également jugé le député LFI Louis Boyard. Sa collègue du même groupe, Alma Dufour, a, elle, voulu ironiser, faisant",Louis Boyard
2,"«L’inaction climatique de nos dirigeants est tellement grave qu’on dirait que c’est fait exprès pour être sûr de ne pas nous faire bénéficier de retraites, à nous, les moins de 35 ans.»","Louis Boyard. Sa collègue du même groupe, Alma Dufour, a, elle, voulu ironiser, faisant le lien avec le réchauffement climatique: «L’inaction climatique de nos dirigeants est tellement grave qu’on dirait que c’est fait exprès pour être sûr de ne pas nous faire bénéficier de retraites, à nous, les moins de 35 ans.»«La première ministre prétend que sa réforme des retraites est un projet de justice sociale. Mais elle va accélérer dangereusement les",Louis Boyard
2,«La première ministre prétend que sa réforme des retraites est un projet de justice sociale. Mais elle va accélérer dangereusement les inégalités!»,"fait exprès pour être sûr de ne pas nous faire bénéficier de retraites, à nous, les moins de 35 ans.»«La première ministre prétend que sa réforme des retraites est un projet de justice sociale. Mais elle va accélérer dangereusement les inégalités!», a également mis en garde le député PCF Pierre Dharréville. Opposition du RN À ses députés, Marine Le Pen l’a répété",Pierre Dharréville
2,"«Pensez-vous sincèrement qu’il est bon pour le pays de proposer une réforme des retraites en vue de décaler l’âge de départ, à laquelle 70 % des Français sont opposés, en leur faisant payer les échecs de vos politiques?»","RN à l’Assemblée concentrera ses prises de parole. Ce mardi, dans l’hémicycle, elle a interpellé la première ministre, Élisabeth Borne. «Pensez-vous sincèrement qu’il est bon pour le pays de proposer une réforme des retraites en vue de décaler l’âge de départ, à laquelle 70 % des Français sont opposés, en leur faisant payer les échecs de vos politiques?», a questionné Marine Le Pen. Jordan Bardella, lui aussi, a rappelé sa volonté de voir le RN s’illustrer comme le",Marine Le Pen
2,«Cela n’est pas et n’a jamais été notre ADN»,"autant, se concentrera au Palais Bourbon. Car pas question pour le RN d’envisager de se joindre à une quelconque manifestation. «Cela n’est pas et n’a jamais été notre ADN», confirme une députée. «Il n’y a pas que la rue, il y a aussi le travail médiatique», assurait encore ce",Rassemblement National
2,"«Il n’y a pas que la rue, il y a aussi le travail médiatique»","d’envisager de se joindre à une quelconque manifestation. «Cela n’est pas et n’a jamais été notre ADN», confirme une députée. «Il n’y a pas que la rue, il y a aussi le travail médiatique», assurait encore ce mardi Marine Le Pen en privé.",Marine Le Pen
3,« Sans réforme c'est la faillite »,"que cette réforme serait inutile. Elle est au contraire indispensable, à la fois par impératif économique et par nécessité démographique. « Sans réforme c'est la faillite » , résume, lapidaire, Gabriel Attal, le ministre des Comptes publics. C'est en tout cas un passage obligé pour sauver le",Gabriel Attal
3,« La réforme des retraites est essentielle »,"beaucoup de monde sur le bord du chemin et représente aussi un gâchis de compétences. De nombreux économistes en conviennent. « La réforme des retraites est essentielle » , affirmait Christian Saint-Étienne sur Sud Radio le 2 janvier, tandis qu'Élie Cohen le même jour sur BFMTV, jugeait la",Christian Saint-Étienne
3,« absolument indispensable »,"affirmait Christian Saint-Étienne sur Sud Radio le 2 janvier, tandis qu'Élie Cohen le même jour sur BFMTV, jugeait la réforme « absolument indispensable ». Et d'expliquer que « le régime est structurellement en déficit. L'État verse une compensation de 30 milliards d'euros pour équilibrer",Christian Saint-Étienne
3,« le régime est structurellement en déficit. L'État verse une compensation de 30 milliards d'euros pour équilibrer les régimes de retraites des fonctionnaires qui sont systématiquement sous dotées. L'État cotise pour les retraites des fonctionnaires à hauteur de 74 %. »,"2 janvier, tandis qu'Élie Cohen le même jour sur BFMTV, jugeait la réforme « absolument indispensable ». Et d'expliquer que « le régime est structurellement en déficit. L'État verse une compensation de 30 milliards d'euros pour équilibrer les régimes de retraites des fonctionnaires qui sont systématiquement sous dotées. L'État cotise pour les retraites des fonctionnaires à hauteur de 74 %. » La réforme des retraites est aussi un point important des recommandations récurrentes de la Commission européenne à la France. D'ailleurs,",Élie Cohen
3,« Cette réforme est un signal fort donné à nos partenaires européens »,"capacité à engager les réformes nécessaires pour revenir à l'objectif d'un déficit inférieur à 3 % du PIB d'ici 2027. « Cette réforme est un signal fort donné à nos partenaires européens » , confirme Raymond Soubie, ancien conseiller social de Nicolas Sarkozy et président du cabinet Alixio. Le « triangle infernal »",Raymond Soubie
3,« triangle infernal »,"nos partenaires européens » , confirme Raymond Soubie, ancien conseiller social de Nicolas Sarkozy et président du cabinet Alixio. Le « triangle infernal » Obligation économique, la réforme est aussi un impératif démographique. Non seulement les générations nombreuses du baby-boom arrivent à l'âge de",Raymond Soubie
3,« triangle infernal »,"nos partenaires européens » , confirme Raymond Soubie, ancien conseiller social de Nicolas Sarkozy et président du cabinet Alixio. Le « triangle infernal » Obligation économique, la réforme est aussi un impératif démographique. Non seulement les générations nombreuses du baby-boom arrivent à l'âge de",Raymond Soubie
3,"« Si nous étions à la moyenne des pays européenne, nous économiserions 50 milliards d'euros par an sur les dépenses de retraite , affirme Élie Cohen. Au final, les 2 points de PIB que nous dépensons en plus sur les retraites, expliquent pourquoi la dépense publique est plus importante en France que dans les autres pays européens . »",": la coalition SPD-Verts l'a porté à 67 ans en Allemagne, et le gouvernement socialiste à 65 ans en Espagne. « Si nous étions à la moyenne des pays européenne, nous économiserions 50 milliards d'euros par an sur les dépenses de retraite , affirme Élie Cohen. Au final, les 2 points de PIB que nous dépensons en plus sur les retraites, expliquent pourquoi la dépense publique est plus importante en France que dans les autres pays européens . » Certaines déclarations, y compris du président de la République, ont pu semer le trouble en indiquant que la réforme des",Élie Cohen
3,"« Pas un euro de cotisation vieillesse ne servira à autre chose qu'à financer les retraites , rassure Olivier Dussopt, ministre du Travail. En revanche, le fait de travailler plus longtemps générera aussi des cotisations familiales, des cotisations maladie, de l'impôt sur le revenu, de la CVAE pour les entreprises, de la TVA . »","dépendance... Mais les cotisations encaissées grâce au recul de l'âge iront bien au financement des retraites. C'est une obligation juridique. « Pas un euro de cotisation vieillesse ne servira à autre chose qu'à financer les retraites , rassure Olivier Dussopt, ministre du Travail. En revanche, le fait de travailler plus longtemps générera aussi des cotisations familiales, des cotisations maladie, de l'impôt sur le revenu, de la CVAE pour les entreprises, de la TVA . » Autant de recettes nouvelles qui donneront au gouvernement des marges de manoeuvre pour financer d'autres chantiers.",Olivier Dussopt
4,"« Je suis bien consciente que ce n'est neutre pour personne, mais pour l'avenir de notre système de retraite par répartition, nous proposons que celles et ceux qui le peuvent travaillent progressivement plus longtemps »","probablement le plus périlleux qu'elle aura à mener. Par le passé, toutes les réformes similaires ont provoqué d'importants mouvements sociaux. « Je suis bien consciente que ce n'est neutre pour personne, mais pour l'avenir de notre système de retraite par répartition, nous proposons que celles et ceux qui le peuvent travaillent progressivement plus longtemps » , a déclaré la première ministre lors d'une conférence de presse solennelle organisée à Paris. En 2030, l'âge légal de",Édouard Philippe
4,« la plupart des régimes spéciaux existants »,"qui prévoit de s'investir politiquement pour porter la réforme, et Stanislas Guerini, le ministre de la Fonction publique, alors que « la plupart des régimes spéciaux existants » vont être « fermés » (lire ci-dessous). Rendez-vous avec l'opinion La macronie, qui était restée sur son échec de 2019,",Emmanuel Macron
4,« fermés »,"Stanislas Guerini, le ministre de la Fonction publique, alors que « la plupart des régimes spéciaux existants » vont être « fermés » (lire ci-dessous). Rendez-vous avec l'opinion La macronie, qui était restée sur son échec de 2019, a maintenant rendez-vous avec l'opinion.",Stanislas Guerini
4,« meilleur qu'il ne l'était il y a six mois »,"(lire page 4). Une première journée de mobilisation est prévue le 19 janvier. Pour autant, le projet du gouvernement est « meilleur qu'il ne l'était il y a six mois », a salué Élisabeth Borne. Alors que les organisations syndicales et les partis de gauche sont vent debout contre le décalage",Élisabeth Borne
4,« un projet de justice porteur de progrès social »,"sont vent debout contre le décalage de l'âge légal de départ à la retraite, la chef du gouvernement a évoqué « un projet de justice porteur de progrès social » à travers des mesures pour les carrières longues et la pénibilité. Bruno Le Maire a affirmé que la réforme «",Bruno Le Maire
4,"« apportera 17,7 milliards d'euros »","» à travers des mesures pour les carrières longues et la pénibilité. Bruno Le Maire a affirmé que la réforme « apportera 17,7 milliards d'euros » aux caisses de retraite en 2030. « Chaque euro compte pour un État qui a (près de) 3 000 milliards",Bruno Le Maire
4,« Chaque euro compte pour un État qui a (près de) 3 000 milliards d'euros de dette »,"Bruno Le Maire a affirmé que la réforme « apportera 17,7 milliards d'euros » aux caisses de retraite en 2030. « Chaque euro compte pour un État qui a (près de) 3 000 milliards d'euros de dette », a-t-il dit. Demander aux Français de travailler davantage avant de prendre sa retraite, « des majorités, de droite comme de",Bruno Le Maire
4,"« des majorités, de droite comme de gauche, l'ont fait avant nous »","3 000 milliards d'euros de dette », a-t-il dit. Demander aux Français de travailler davantage avant de prendre sa retraite, « des majorités, de droite comme de gauche, l'ont fait avant nous » , a plaidé Élisabeth Borne, référence aux réformes de la socialiste Marisol Touraine en 2014, du sarkozyste Éric Woerth en",Marisol Touraine
4,« Nous sommes prêts à faire encore évoluer notre projet »,"% du smic net - soit 1 200 euros brut actuellement - pour les carrières complètes et les actuels bénéficiaires. « Nous sommes prêts à faire encore évoluer notre projet », a dit la première ministre qui a fait le voeu d'un « débat parlementaire loyal et constructif ». Mais déjà",Première Ministre
4,« débat parlementaire loyal et constructif »,"sommes prêts à faire encore évoluer notre projet », a dit la première ministre qui a fait le voeu d'un « débat parlementaire loyal et constructif ». Mais déjà La France insoumise promet de descendre dans la rue et de multiplier les coups d'éclat dans l'Hémicycle. Jean-Luc",La source de la référence est la première ministre.
4,« une grave régression sociale »,"insoumise promet de descendre dans la rue et de multiplier les coups d'éclat dans l'Hémicycle. Jean-Luc Mélenchon a aussitôt dénoncé « une grave régression sociale », lui qui brandit encore le symbole de la retraite à 60 ans. Comme le socialiste Olivier Faure. Une mesure «",Jean-Luc Mélenchon
4,« démagogique »,"», lui qui brandit encore le symbole de la retraite à 60 ans. Comme le socialiste Olivier Faure. Une mesure « démagogique », a répondu Élisabeth Borne qui y voit le risque « d'aggraver davantage » les déficits. Marine Le Pen n'est pas",Olivier Faure
4,« d'aggraver davantage »,"ans. Comme le socialiste Olivier Faure. Une mesure « démagogique », a répondu Élisabeth Borne qui y voit le risque « d'aggraver davantage » les déficits. Marine Le Pen n'est pas en reste, promettant de « faire barrage à cette réforme injuste » .",Élisabeth Borne
4,« faire barrage à cette réforme injuste »,"qui y voit le risque « d'aggraver davantage » les déficits. Marine Le Pen n'est pas en reste, promettant de « faire barrage à cette réforme injuste » . « La confrontation d'idées peut se faire sans désinformation, sans agiter les peurs », a d'ores et déjà avancé",Marine Le Pen
4,"« La confrontation d'idées peut se faire sans désinformation, sans agiter les peurs »","les déficits. Marine Le Pen n'est pas en reste, promettant de « faire barrage à cette réforme injuste » . « La confrontation d'idées peut se faire sans désinformation, sans agiter les peurs », a d'ores et déjà avancé la chef du gouvernement, qui sait que la bataille de l'opinion sera plus difficile que",Marine Le Pen
4,"« Chaque euro servira à financer nos retraites, rien d'autre »","les Français, l'exécutif devra imposer un récit alors que la finalité de sa réforme n'a pas toujours été très claire. « Chaque euro servira à financer nos retraites, rien d'autre » , a insisté Élisabeth Borne, quand le candidat Macron évoquait d'abord les ressources à dégager pour financer la transition écologique",Élisabeth Borne
4,"« Députés et ministres, à nous d'envahir tous les espaces »","services publics. Politiquement, la majorité s'organise pour faire face aux cortèges et blocages divers et variés qui attendent le pays. « Députés et ministres, à nous d'envahir tous les espaces », estime Sylvain Maillard, le vice-président du groupe Renaissance à l'Assemblée nationale. La chef des députés macronistes Aurore Bergé veut «",Sylvain Maillard
4,« une offensive »,"», estime Sylvain Maillard, le vice-président du groupe Renaissance à l'Assemblée nationale. La chef des députés macronistes Aurore Bergé veut « une offensive ». Le ministre du Budget, Gabriel Attal, devrait lui aussi se déployer ces prochains jours. Tandis que le porte-parole du gouvernement,",Aurore Bergé
4,« moment de vérité »,"porte-parole du gouvernement, Olivier Véran, se rendra dès mercredi dans une entreprise des Yvelines pour échanger avec les salariés. Ce « moment de vérité » , pour reprendre les termes d'Élisabeth Borne, sera décisif pour la poursuite de son bail à Matignon. Nommée il y",Élisabeth Borne
5,"«Le président a déjà pris sa perte avec la réforme des retraites pendant la campagne présidentielle , assure un ministre. C'est l'un des seuls sujets qui ait été clairement identifié par les Français et malgré leurs doutes sur le report de l'âge légal de départ, il a été réélu . »","l'irruption de la crise Covid. Au sein du gouvernement, on espère toutefois que le pire n'est pas forcément à venir. «Le président a déjà pris sa perte avec la réforme des retraites pendant la campagne présidentielle , assure un ministre. C'est l'un des seuls sujets qui ait été clairement identifié par les Français et malgré leurs doutes sur le report de l'âge légal de départ, il a été réélu . » Pas question pour autant de s'exposer en première ligne. Dans la chorégraphie bien orchestrée de la présentation de la réforme,",Un ministre
5,« indispensable et vital »,"faire la promotion de sa réforme. Le relèvement à 64 ans de l'âge légal de départ à la retraite est « indispensable et vital » pour « préserver » le système, a réaffirmé Emmanuel Macron lors du Conseil des ministres. Selon Olivier Véran, le porte-parole",Emmanuel Macron
5,« préserver »,"Le relèvement à 64 ans de l'âge légal de départ à la retraite est « indispensable et vital » pour « préserver » le système, a réaffirmé Emmanuel Macron lors du Conseil des ministres. Selon Olivier Véran, le porte-parole du gouvernement, qui a",Emmanuel Macron
5,« mobilisation »,"Selon Olivier Véran, le porte-parole du gouvernement, qui a relayé ses propos, le président a appelé ses ministres à la « mobilisation » pour « expliquer aux Français très concrètement » ce « qui va changer pour eux ». Le ministre a lui-même",Olivier Véran
5,« expliquer aux Français très concrètement »,"porte-parole du gouvernement, qui a relayé ses propos, le président a appelé ses ministres à la « mobilisation » pour « expliquer aux Français très concrètement » ce « qui va changer pour eux ». Le ministre a lui-même suivi la consigne : « Ce projet de",Le président de la République.
5,« qui va changer pour eux »,le président a appelé ses ministres à la « mobilisation » pour « expliquer aux Français très concrètement » ce « qui va changer pour eux ». Le ministre a lui-même suivi la consigne : « Ce projet de réforme des retraites n'est pas un projet éclair,Emmanuel Macron
5,« Ce projet de réforme des retraites n'est pas un projet éclair ou brutal. Il n'est pas antisocial : la retraite minimale est augmentée de 100 euros brut pour en moyenne 2 millions de retraités. »,"Français très concrètement » ce « qui va changer pour eux ». Le ministre a lui-même suivi la consigne : « Ce projet de réforme des retraites n'est pas un projet éclair ou brutal. Il n'est pas antisocial : la retraite minimale est augmentée de 100 euros brut pour en moyenne 2 millions de retraités. » Clément Beaune, le ministre des Transports, a rencontré dès mardi soir le patron de la SNCF, Jean-Pierre Farandou, et celui",Clément Beaune
5,« expliquer et accompagner la réforme »,"a rencontré dès mardi soir le patron de la SNCF, Jean-Pierre Farandou, et celui de la RATP, Jean Castex, pour « expliquer et accompagner la réforme » dans des secteurs où la mobilisation pourrait être importante. De son côté, le parti présidentiel Renaissance a édité un tract",Jean Castex
5,« Agir aujourd'hui pour sauver nos retraites demain »,"des secteurs où la mobilisation pourrait être importante. De son côté, le parti présidentiel Renaissance a édité un tract intitulé « Agir aujourd'hui pour sauver nos retraites demain ». Réforme « améliorable » Malgré cela, des voix se sont fait entendre mercredi pour exprimer quelques désaccords. Au sein même",Renaissance
5,« améliorable »,"côté, le parti présidentiel Renaissance a édité un tract intitulé « Agir aujourd'hui pour sauver nos retraites demain ». Réforme « améliorable » Malgré cela, des voix se sont fait entendre mercredi pour exprimer quelques désaccords. Au sein même de la majorité. François",Renaissance
5,« est améliorable »,"mercredi pour exprimer quelques désaccords. Au sein même de la majorité. François Bayrou a jugé sur LCI que la réforme « est améliorable ». « On va entrer dans une discussion parlementaire qui va être ardue », a dit le président du MoDem, qui",François Bayrou
5,« On va entrer dans une discussion parlementaire qui va être ardue »,"désaccords. Au sein même de la majorité. François Bayrou a jugé sur LCI que la réforme « est améliorable ». « On va entrer dans une discussion parlementaire qui va être ardue », a dit le président du MoDem, qui plaide pour une augmentation des cotisations de l'employeur. « Je sais très bien",François Bayrou
5,"« Je sais très bien que le gouvernement n'est pas de cet avis, mais mon idée n'est pas de le gêner ni de le mettre en difficulté »","qui va être ardue », a dit le président du MoDem, qui plaide pour une augmentation des cotisations de l'employeur. « Je sais très bien que le gouvernement n'est pas de cet avis, mais mon idée n'est pas de le gêner ni de le mettre en difficulté », a-t-il assuré. Le centriste estime que « beaucoup de Français ont le sentiment qu'on demande des efforts aux mêmes, à",MoDem
5,"« beaucoup de Français ont le sentiment qu'on demande des efforts aux mêmes, à ceux qui sont au travail, et pas du tout à ceux qui sont à la tête des entreprises »","mon idée n'est pas de le gêner ni de le mettre en difficulté », a-t-il assuré. Le centriste estime que « beaucoup de Français ont le sentiment qu'on demande des efforts aux mêmes, à ceux qui sont au travail, et pas du tout à ceux qui sont à la tête des entreprises » . Dans Le Point, Édouard Philippe a sobrement salué les arbitrages de l'exécutif. « Si la mesure que le gouvernement",Édouard Philippe
5,"« Si la mesure que le gouvernement propose a le même effet sur l'équilibre qu'un report à 65 ans, très bien »","sont à la tête des entreprises » . Dans Le Point, Édouard Philippe a sobrement salué les arbitrages de l'exécutif. « Si la mesure que le gouvernement propose a le même effet sur l'équilibre qu'un report à 65 ans, très bien », a-t-il dit. Horizons pourrait profiter de la discussion parlementaire pour faire d'autres propositions. Élisabeth Borne doit recevoir jeudi à Matignon",Édouard Philippe
7,« fracture sociale »,"de fortes tensions. L'exemple le plus marquant remonte à 1995. Élu au mois de mai sur le thème de la « fracture sociale » , Jacques Chirac active sans attendre son gouvernement. Le « plan Juppé » - du nom du premier ministre d'alors",Jacques Chirac
7,« plan Juppé »,"de mai sur le thème de la « fracture sociale » , Jacques Chirac active sans attendre son gouvernement. Le « plan Juppé » - du nom du premier ministre d'alors - est annoncé dès le 15 novembre. Il ne s'agit pas à proprement",Alain Juppé
7,« On n'avait pas vu cela depuis Mai 68 »,"à Toulouse, Lille, Lyon ou encore Marseille, où l'on compte jusqu'à 120 000 manifestants au plus fort de la contestation. « On n'avait pas vu cela depuis Mai 68 » , commentent les journalistes de l'époque. Le point culminant est fixé au 12 décembre, avec deux millions de personnes mobilisées.",Mai 68
7,"« Il faut recommencer à circuler, à travailler, car il en va de l'intérêt national »",", commentent les journalistes de l'époque. Le point culminant est fixé au 12 décembre, avec deux millions de personnes mobilisées. « Il faut recommencer à circuler, à travailler, car il en va de l'intérêt national » , déclare alors Alain Juppé. Sous la pression de Jacques Chirac, le premier ministre finit par plier, dépassé par l'ampleur",Alain Juppé
7,« sommet social »,"le premier ministre finit par plier, dépassé par l'ampleur de la colère. Le pan Sécurité sociale est toutefois conservé. Un « sommet social » avec les syndicats est aussi organisé à Matignon, et Alain Juppé s'y réjouit d'avoir fixé « une nouvelle ambition (...)",Alain Juppé
