Document ID,Citation,Source
3,"《 Pas un euro de cotisation vieillesse ne servira à autre chose qu'à financer les retraites , rassure Olivier Dussopt, ministre du Travail. En revanche, le fait de travailler plus longtemps générera aussi des cotisations familiales, des cotisations maladie, de l'impôt sur le revenu, de la CVAE pour les entreprises, de la TVA . 》",Olivier Dussopt
4,"« un projet de justice porteur de progrès social » à travers des mesures pour les carrières longues et la《 Je suis bien consciente que ce n'est neutre pour personne, mais pour l'avenir de notre système de retraite par répartition, nous proposons que celles et ceux qui le peuvent travaillent progressivement plus longtemps 》de la socialiste Marisol Touraine en 2014, du sarkozyste Éric Woerth en 2010, ou de François Fillon en 2003. Mais",Marisol Touraine
4,《 la plupart des régimes spéciaux existants 》,Le Monde
4,《 fermés 》,Victor Hugo
4,《 meilleur qu'il ne l'était il y a six mois 》,Le Monde
4,《 un projet de justice porteur de progrès social 》,Unknown
4,"《 apportera 17,7 milliards d'euros 》",Le Monde
4,《 Chaque euro compte pour un État qui a (près de) 3 000 milliards d'euros de dette 》,Le Monde
4,"《 des majorités, de droite comme de gauche, l'ont fait avant nous 》",This citation is from a person.
4,《 Nous sommes prêts à faire encore évoluer notre projet 》,Unknown
4,《 débat parlementaire loyal et constructif 》,National Assembly
4,《 une grave régression sociale 》,Le Monde
4,《 démagogique 》,Le Monde
4,《 d'aggraver davantage 》,Le Monde
4,《 faire barrage à cette réforme injuste 》,Emmanuel Macron
4,"《 La confrontation d'idées peut se faire sans désinformation, sans agiter les peurs 》",Emmanuel Macron
4,"《 Chaque euro servira à financer nos retraites, rien d'autre 》",Emmanuel Macron
4,"《 Députés et ministres, à nous d'envahir tous les espaces 》",France Culture
4,《 une offensive 》,une offensive
4,《 moment de vérité 》,Name of a movie
5,"《Le président a déjà pris sa perte avec la réforme des retraites pendant la campagne présidentielle , assure un ministre. C'est l'un des seuls sujets qui ait été clairement identifié par les Français et malgré leurs doutes sur le report de l'âge légal de départ, il a été réélu . 》",Ministre
5,《 indispensable et vital 》,Le Monde
5,《 préserver 》,La Presse
5,《 mobilisation 》,Le Monde
5,《 expliquer aux Français très concrètement 》,No response.
5,《 qui va changer pour eux 》,La Presse
5,《 Ce projet de réforme des retraites n'est pas un projet éclair ou brutal. Il n'est pas antisocial : la retraite minimale est augmentée de 100 euros brut pour en moyenne 2 millions de retraités. 》,Emmanuel Macron
5,《 expliquer et accompagner la réforme 》,Éducation nationale
5,《 Agir aujourd'hui pour sauver nos retraites demain 》,Unknown
5,《 améliorable 》,Noam Chomsky
5,《 est améliorable 》,Victor Hugo
5,《 On va entrer dans une discussion parlementaire qui va être ardue 》,Assemblée nationale
5,"《 Je sais très bien que le gouvernement n'est pas de cet avis, mais mon idée n'est pas de le gêner ni de le mettre en difficulté 》",Jean-Luc Mélenchon
5,"《 beaucoup de Français ont le sentiment qu'on demande des efforts aux mêmes, à ceux qui sont au travail, et pas du tout à ceux qui sont à la tête des entreprises 》",Emmanuel Macron
5,"《 Si la mesure que le gouvernement propose a le même effet sur l'équilibre qu'un report à 65 ans, très bien 》",François Fillon
7,"2019, s'est conclu en échec. Pour contourner la contestation de ses opposants, Édouard Philippe active l'article 49.3 sur une réforme《 fracture sociale 》l'intérêt national",Édouard Philippe
7,《 plan Juppé 》,Jacques Chirac
7,《 On n'avait pas vu cela depuis Mai 68 》,Le Monde
7,"《 Il faut recommencer à circuler, à travailler, car il en va de l'intérêt national 》",Emmanuel Macron
7,《 sommet social 》,Le Monde
7,《 une nouvelle ambition (...) pour l'emploi en général 》,OCDE
7,《 impasse 》,The source of the citation is a book.
7,《 la démocratie parlementaire 》,No response.
7,"《 Le Parlement va pouvoir s'exprimer. (...) Le Parlement est libre. (...) Le Parlement est ouvert, et le Parlement discute 》",Emmanuel Macron
7,《 sage 》,The source of the citation is a person.
7,《 négociée 》,This citation is from a person.
7,《 progressive 》,The source of the citation is a person.
7,"《 Après, nous verrons. Nous avons prévu qu'en 2012 il faudrait sans doute 41 ans, mais nous verrons 》",Jacques Chirac
7,《 universel 》,The source of the citation is a person.
8,"En 2019 et 2020, la thèse d'une réforme des retraités dictée par Bruxelles était également avancée par plusieurs élus Insoumis,《C'est la faute à l'Europe.》l'engagement auquel il a dû souscrire pour bénéficier des fonds de relance européen», a estimé le député européen LR François-Xavier",François-Xavier Bellamy
8,"son site en octobre dernier, la représentation en France de la Commission européenne s'occupait elle-même de «fact-checker» ces allégations. «Non,《Quelle est l'urgence de mettre le pays en division et en tension ? Si ce n'est obéir aux exigences de la Commission européenne》fonctionnement de l'Union prévoit explicitement qu'en matière économique, l'UE ne peut que coordonner les États sans imposer de mesures spécifiques».",Commission européenne
8,"Si «effectivement la France doit faire en sorte de cheminer vers les 3% de déficit public pour respecter le Pacte《à une injonction de Bruxelles》relance Par ailleurs, si ces 3% sont considérés par certains comme un critère arbitraire, Vincent Couronne souligne que, même sans",Vincent Couronne
8,"précisément cette réforme-là pour rentrer dans les clous», répond Vincent Couronne. «Une autonomie est laissée aux États pour respecter les《S'il (Emmanuel Macron) fait cette réforme aujourd'hui, c'est pour une seule et unique raison, c'est l'engagement auquel il a dû souscrire pour bénéficier des fonds de relance européen》passer la réforme sans vote à l'Assemblée, le chef de l'État a justifié cette décision, en conseil des ministres, par",Vincent Couronne
8,"《L'Europe ne demande rien. (...) Si c'était le cas, on n'aurait pas une disparité des départs d'âge à la retraite en Europe. C'est à la main des États de décider ce qu'ils veulent faire, et ils le font》",Emmanuel Macron
8,《marchés financiers》,Le Monde
8,《fact-checker》,FactCheck.org
8,"《Non, la Commission européenne n'impose pas à la France sa réforme des retraites ! L'on entend souvent dans le cadre du débat national que “Bruxelles” exige de repousser l'âge de départ à la retraite. Pourtant, c'est faux》",La source de la citation est « La Commission européenne »
8,"《Le traité sur le fonctionnement de l'Union prévoit explicitement qu'en matière économique, l'UE ne peut que coordonner les États sans imposer de mesures spécifiques》",Traité sur l'Union européenne
